# Threshold Efficiency
0.000343 0.999382
0.000442 0.999382
0.000542 0.999382
0.000641 0.999382
0.000740 0.999382
0.000840 0.999382
0.000939 0.999382
0.001039 0.999382
0.001138 0.999382
0.001237 0.999382
0.001337 0.999382
0.001436 0.999382
0.001536 0.999382
0.001635 0.999382
0.001734 0.999382
0.001834 0.999382
0.001933 0.999382
0.002033 0.999382
0.002132 0.999382
0.002231 0.999382
0.002331 0.999382
0.002430 0.999382
0.002529 0.999382
0.002629 0.999382
0.002728 0.998763
0.002828 0.998145
0.002927 0.997526
0.003026 0.997526
0.003126 0.997526
0.003225 0.996908
0.003325 0.996908
0.003424 0.996908
0.003523 0.996908
0.003623 0.996908
0.003722 0.996908
0.003822 0.996908
0.003921 0.996908
0.004020 0.996908
0.004120 0.996908
0.004219 0.996908
0.004319 0.996908
0.004418 0.996908
0.004517 0.996908
0.004617 0.996289
0.004716 0.996289
0.004816 0.996289
0.004915 0.995671
0.005014 0.995671
0.005114 0.995671
0.005213 0.995671
0.005313 0.995671
0.005412 0.995671
0.005511 0.995671
0.005611 0.995671
0.005710 0.995671
0.005810 0.995053
0.005909 0.995053
0.006008 0.995053
0.006108 0.995053
0.006207 0.995053
0.006307 0.995053
0.006406 0.995053
0.006505 0.995053
0.006605 0.994434
0.006704 0.994434
0.006804 0.994434
0.006903 0.994434
0.007002 0.994434
0.007102 0.994434
0.007201 0.993816
0.007301 0.993816
0.007400 0.993197
0.007499 0.993197
0.007599 0.993197
0.007698 0.993197
0.007798 0.993197
0.007897 0.993197
0.007996 0.993197
0.008096 0.993197
0.008195 0.993197
0.008295 0.992579
0.008394 0.992579
0.008493 0.992579
0.008593 0.992579
0.008692 0.992579
0.008792 0.992579
0.008891 0.992579
0.008990 0.992579
0.009090 0.992579
0.009189 0.992579
0.009289 0.992579
0.009388 0.992579
0.009487 0.992579
0.009587 0.992579
0.009686 0.992579
0.009785 0.991960
0.009885 0.991960
0.009984 0.991960
0.010084 0.991342
0.010183 0.990724
0.010282 0.990724
0.010382 0.990724
0.010481 0.990724
0.010581 0.990724
0.010680 0.990724
0.010779 0.990724
0.010879 0.990724
0.010978 0.990724
0.011078 0.990724
0.011177 0.990724
0.011276 0.990724
0.011376 0.990105
0.011475 0.990105
0.011575 0.990105
0.011674 0.990105
0.011773 0.990105
0.011873 0.990105
0.011972 0.990105
0.012072 0.989487
0.012171 0.989487
0.012270 0.989487
0.012370 0.989487
0.012469 0.989487
0.012569 0.989487
0.012668 0.989487
0.012767 0.989487
0.012867 0.989487
0.012966 0.989487
0.013066 0.988868
0.013165 0.988250
0.013264 0.988250
0.013364 0.988250
0.013463 0.988250
0.013563 0.988250
0.013662 0.987631
0.013761 0.987013
0.013861 0.987013
0.013960 0.987013
0.014060 0.987013
0.014159 0.987013
0.014258 0.987013
0.014358 0.987013
0.014457 0.987013
0.014557 0.987013
0.014656 0.987013
0.014755 0.987013
0.014855 0.987013
0.014954 0.987013
0.015054 0.987013
0.015153 0.987013
0.015252 0.986395
0.015352 0.985776
0.015451 0.985158
0.015551 0.985158
0.015650 0.985158
0.015749 0.985158
0.015849 0.985158
0.015948 0.985158
0.016048 0.985158
0.016147 0.985158
0.016246 0.985158
0.016346 0.983921
0.016445 0.983921
0.016545 0.983921
0.016644 0.983921
0.016743 0.983921
0.016843 0.983921
0.016942 0.983921
0.017041 0.983921
0.017141 0.983921
0.017240 0.983921
0.017340 0.983302
0.017439 0.983302
0.017538 0.983302
0.017638 0.983302
0.017737 0.983302
0.017837 0.983302
0.017936 0.983302
0.018035 0.983302
0.018135 0.982684
0.018234 0.982684
0.018334 0.982684
0.018433 0.982684
0.018532 0.982684
0.018632 0.982066
0.018731 0.981447
0.018831 0.981447
0.018930 0.981447
0.019029 0.981447
0.019129 0.981447
0.019228 0.981447
0.019328 0.981447
0.019427 0.981447
0.019526 0.981447
0.019626 0.981447
0.019725 0.981447
0.019825 0.980829
0.019924 0.980210
0.020023 0.978973
0.020123 0.978973
0.020222 0.978973
0.020322 0.978973
0.020421 0.978973
0.020520 0.978973
0.020620 0.978355
0.020719 0.978355
0.020819 0.978355
0.020918 0.978355
0.021017 0.978355
0.021117 0.978355
0.021216 0.978355
0.021316 0.977737
0.021415 0.977737
0.021514 0.977737
0.021614 0.977737
0.021713 0.977118
0.021813 0.976500
0.021912 0.976500
0.022011 0.976500
0.022111 0.976500
0.022210 0.975881
0.022310 0.975881
0.022409 0.975263
0.022508 0.974644
0.022608 0.974644
0.022707 0.974644
0.022807 0.974644
0.022906 0.974644
0.023005 0.974644
0.023105 0.974644
0.023204 0.974644
0.023304 0.974644
0.023403 0.974644
0.023502 0.974026
0.023602 0.974026
0.023701 0.973408
0.023801 0.973408
0.023900 0.973408
0.023999 0.973408
0.024099 0.973408
0.024198 0.973408
0.024297 0.973408
0.024397 0.973408
0.024496 0.972789
0.024596 0.972789
0.024695 0.972789
0.024794 0.972789
0.024894 0.972789
0.024993 0.972789
0.025093 0.972789
0.025192 0.972789
0.025291 0.972171
0.025391 0.971552
0.025490 0.971552
0.025590 0.971552
0.025689 0.971552
0.025788 0.970315
