# Threshold Efficiency
0.000343 1.000000
0.000442 1.000000
0.000542 1.000000
0.000641 1.000000
0.000740 1.000000
0.000840 1.000000
0.000939 1.000000
0.001039 1.000000
0.001138 1.000000
0.001237 1.000000
0.001337 1.000000
0.001436 1.000000
0.001536 1.000000
0.001635 1.000000
0.001734 1.000000
0.001834 1.000000
0.001933 1.000000
0.002033 1.000000
0.002132 1.000000
0.002231 1.000000
0.002331 1.000000
0.002430 1.000000
0.002529 1.000000
0.002629 1.000000
0.002728 1.000000
0.002828 1.000000
0.002927 1.000000
0.003026 1.000000
0.003126 1.000000
0.003225 1.000000
0.003325 1.000000
0.003424 1.000000
0.003523 1.000000
0.003623 1.000000
0.003722 1.000000
0.003822 1.000000
0.003921 1.000000
0.004020 1.000000
0.004120 1.000000
0.004219 1.000000
0.004319 1.000000
0.004418 1.000000
0.004517 1.000000
0.004617 1.000000
0.004716 1.000000
0.004816 1.000000
0.004915 1.000000
0.005014 1.000000
0.005114 1.000000
0.005213 1.000000
0.005313 1.000000
0.005412 1.000000
0.005511 1.000000
0.005611 1.000000
0.005710 1.000000
0.005810 1.000000
0.005909 1.000000
0.006008 1.000000
0.006108 1.000000
0.006207 1.000000
0.006307 1.000000
0.006406 1.000000
0.006505 1.000000
0.006605 1.000000
0.006704 1.000000
0.006804 1.000000
0.006903 1.000000
0.007002 1.000000
0.007102 1.000000
0.007201 1.000000
0.007301 1.000000
0.007400 1.000000
0.007499 1.000000
0.007599 1.000000
0.007698 1.000000
0.007798 1.000000
0.007897 1.000000
0.007996 1.000000
0.008096 1.000000
0.008195 1.000000
0.008295 1.000000
0.008394 1.000000
0.008493 1.000000
0.008593 1.000000
0.008692 1.000000
0.008792 1.000000
0.008891 1.000000
0.008990 1.000000
0.009090 1.000000
0.009189 1.000000
0.009289 1.000000
0.009388 1.000000
0.009487 1.000000
0.009587 1.000000
0.009686 1.000000
0.009785 1.000000
0.009885 1.000000
0.009984 1.000000
0.010084 1.000000
0.010183 1.000000
0.010282 1.000000
0.010382 1.000000
0.010481 1.000000
0.010581 1.000000
0.010680 1.000000
0.010779 1.000000
0.010879 1.000000
0.010978 1.000000
0.011078 1.000000
0.011177 1.000000
0.011276 1.000000
0.011376 1.000000
0.011475 1.000000
0.011575 1.000000
0.011674 1.000000
0.011773 1.000000
0.011873 1.000000
0.011972 1.000000
0.012072 1.000000
0.012171 1.000000
0.012270 1.000000
0.012370 1.000000
0.012469 1.000000
0.012569 1.000000
0.012668 1.000000
0.012767 1.000000
0.012867 0.999373
0.012966 0.999373
0.013066 0.999373
0.013165 0.999373
0.013264 0.999373
0.013364 0.999373
0.013463 0.999373
0.013563 0.999373
0.013662 0.999373
0.013761 0.999373
0.013861 0.999373
0.013960 0.999373
0.014060 0.999373
0.014159 0.999373
0.014258 0.999373
0.014358 0.999373
0.014457 0.999373
0.014557 0.999373
0.014656 0.999373
0.014755 0.999373
0.014855 0.999373
0.014954 0.999373
0.015054 0.999373
0.015153 0.999373
0.015252 0.999373
0.015352 0.999373
0.015451 0.999373
0.015551 0.999373
0.015650 0.999373
0.015749 0.999373
0.015849 0.999373
0.015948 0.999373
0.016048 0.999373
0.016147 0.999373
0.016246 0.999373
0.016346 0.999373
0.016445 0.999373
0.016545 0.999373
0.016644 0.999373
0.016743 0.999373
0.016843 0.999373
0.016942 0.999373
0.017041 0.999373
0.017141 0.999373
0.017240 0.999373
0.017340 0.999373
0.017439 0.999373
0.017538 0.999373
0.017638 0.999373
0.017737 0.999373
0.017837 0.999373
0.017936 0.999373
0.018035 0.999373
0.018135 0.999373
0.018234 0.999373
0.018334 0.999373
0.018433 0.999373
0.018532 0.999373
0.018632 0.999373
0.018731 0.999373
0.018831 0.999373
0.018930 0.999373
0.019029 0.999373
0.019129 0.999373
0.019228 0.999373
0.019328 0.999373
0.019427 0.999373
0.019526 0.999373
0.019626 0.999373
0.019725 0.999373
0.019825 0.999373
0.019924 0.999373
0.020023 0.999373
0.020123 0.999373
0.020222 0.999373
0.020322 0.999373
0.020421 0.999373
0.020520 0.999373
0.020620 0.999373
0.020719 0.999373
0.020819 0.999373
0.020918 0.999373
0.021017 0.999373
0.021117 0.999373
0.021216 0.999373
0.021316 0.999373
0.021415 0.999373
0.021514 0.999373
0.021614 0.999373
0.021713 0.999373
0.021813 0.999373
0.021912 0.999373
0.022011 0.999373
0.022111 0.999373
0.022210 0.999373
0.022310 0.999373
0.022409 0.999373
0.022508 0.999373
0.022608 0.999373
0.022707 0.999373
0.022807 0.999373
0.022906 0.999373
0.023005 0.999373
0.023105 0.999373
0.023204 0.999373
0.023304 0.999373
0.023403 0.999373
0.023502 0.999373
0.023602 0.999373
0.023701 0.999373
0.023801 0.999373
0.023900 0.999373
0.023999 0.999373
0.024099 0.999373
0.024198 0.999373
0.024297 0.999373
0.024397 0.999373
0.024496 0.999373
0.024596 0.999373
0.024695 0.999373
0.024794 0.999373
0.024894 0.999373
0.024993 0.999373
0.025093 0.999373
0.025192 0.999373
0.025291 0.999373
0.025391 0.999373
0.025490 0.999373
0.025590 0.999373
0.025689 0.999373
0.025788 0.999373
0.025888 0.999373
0.025987 0.999373
0.026087 0.999373
0.026186 0.999373
0.026285 0.999373
0.026385 0.999373
0.026484 0.999373
0.026584 0.999373
0.026683 0.999373
0.026782 0.999373
0.026882 0.999373
0.026981 0.999373
0.027081 0.999373
0.027180 0.999373
0.027279 0.999373
0.027379 0.999373
0.027478 0.999373
0.027578 0.999373
0.027677 0.999373
0.027776 0.999373
0.027876 0.999373
0.027975 0.999373
0.028075 0.999373
0.028174 0.999373
0.028273 0.999373
0.028373 0.999373
0.028472 0.998747
0.028572 0.998747
0.028671 0.998747
0.028770 0.998747
0.028870 0.998747
0.028969 0.998747
0.029069 0.998747
0.029168 0.998747
0.029267 0.998747
0.029367 0.998747
0.029466 0.998747
0.029566 0.998747
0.029665 0.998747
0.029764 0.998747
0.029864 0.998747
0.029963 0.998747
0.030063 0.998747
0.030162 0.998747
0.030261 0.998747
0.030361 0.998747
0.030460 0.998747
0.030560 0.998747
0.030659 0.998747
0.030758 0.998747
0.030858 0.998747
0.030957 0.998747
0.031057 0.998747
0.031156 0.998747
0.031255 0.998747
0.031355 0.998747
0.031454 0.998747
0.031553 0.998747
0.031653 0.998747
0.031752 0.998747
0.031852 0.998747
0.031951 0.998747
0.032050 0.998747
0.032150 0.998747
0.032249 0.998747
0.032349 0.998747
0.032448 0.998747
0.032547 0.998747
0.032647 0.998747
0.032746 0.998747
0.032846 0.998747
0.032945 0.998747
0.033044 0.998747
0.033144 0.998747
0.033243 0.998747
0.033343 0.998747
0.033442 0.998120
0.033541 0.998120
0.033641 0.998120
0.033740 0.998120
0.033840 0.998120
0.033939 0.998120
0.034038 0.998120
0.034138 0.998120
0.034237 0.998120
0.034337 0.998120
0.034436 0.998120
0.034535 0.998120
0.034635 0.998120
0.034734 0.998120
0.034834 0.998120
0.034933 0.998120
0.035032 0.998120
0.035132 0.997494
0.035231 0.997494
0.035331 0.997494
0.035430 0.997494
0.035529 0.997494
0.035629 0.997494
0.035728 0.997494
0.035828 0.997494
0.035927 0.997494
0.036026 0.997494
0.036126 0.997494
0.036225 0.997494
0.036325 0.997494
0.036424 0.997494
0.036523 0.997494
0.036623 0.997494
0.036722 0.997494
0.036822 0.997494
0.036921 0.997494
0.037020 0.997494
0.037120 0.997494
0.037219 0.997494
0.037319 0.997494
0.037418 0.997494
0.037517 0.997494
0.037617 0.997494
0.037716 0.997494
0.037816 0.997494
0.037915 0.997494
0.038014 0.997494
0.038114 0.997494
0.038213 0.997494
0.038312 0.997494
0.038412 0.997494
0.038511 0.997494
0.038611 0.997494
0.038710 0.997494
0.038809 0.997494
0.038909 0.997494
0.039008 0.997494
0.039108 0.997494
0.039207 0.997494
0.039306 0.997494
0.039406 0.997494
0.039505 0.997494
0.039605 0.997494
0.039704 0.997494
0.039803 0.997494
0.039903 0.997494
0.040002 0.997494
0.040102 0.997494
0.040201 0.997494
0.040300 0.997494
0.040400 0.997494
0.040499 0.997494
0.040599 0.997494
0.040698 0.997494
0.040797 0.997494
0.040897 0.997494
0.040996 0.997494
0.041096 0.997494
0.041195 0.997494
0.041294 0.997494
0.041394 0.997494
0.041493 0.997494
0.041593 0.997494
0.041692 0.997494
0.041791 0.997494
0.041891 0.997494
0.041990 0.997494
0.042090 0.997494
0.042189 0.997494
0.042288 0.997494
0.042388 0.997494
0.042487 0.997494
0.042587 0.997494
0.042686 0.997494
0.042785 0.997494
0.042885 0.997494
0.042984 0.997494
0.043084 0.997494
0.043183 0.997494
0.043282 0.997494
0.043382 0.997494
0.043481 0.997494
0.043581 0.996867
0.043680 0.996867
0.043779 0.996867
0.043879 0.996867
0.043978 0.996867
0.044078 0.996867
0.044177 0.996867
0.044276 0.996867
0.044376 0.996867
0.044475 0.996867
0.044575 0.996867
0.044674 0.996867
0.044773 0.996867
0.044873 0.996867
0.044972 0.996867
