# Threshold Efficiency
0.000722 0.999697
0.000821 0.999090
0.000920 0.999090
0.001020 0.998787
0.001119 0.998484
0.001218 0.997878
0.001318 0.997574
0.001417 0.997574
0.001516 0.997271
0.001616 0.996665
0.001715 0.995452
0.001814 0.994542
0.001914 0.993633
0.002013 0.993329
0.002112 0.993026
0.002212 0.992116
0.002311 0.991207
0.002410 0.990600
0.002510 0.989994
0.002609 0.989388
0.002708 0.988781
0.002808 0.987871
0.002907 0.986052
0.003006 0.985143
0.003106 0.985143
0.003205 0.983930
0.003304 0.982717
0.003404 0.980291
0.003503 0.979988
0.003602 0.978775
0.003702 0.978775
0.003801 0.978169
0.003900 0.977259
0.004000 0.976653
0.004099 0.975136
0.004198 0.974227
0.004298 0.974227
0.004397 0.974227
0.004496 0.972408
0.004596 0.972104
0.004695 0.971498
0.004794 0.970285
0.004894 0.969375
0.004993 0.969072
0.005092 0.968163
0.005192 0.967556
0.005291 0.966950
0.005390 0.966040
0.005490 0.963918
0.005589 0.963311
0.005688 0.962401
0.005788 0.961795
0.005887 0.960885
0.005986 0.960279
0.006086 0.959976
0.006185 0.959066
0.006284 0.959066
0.006384 0.958763
0.006483 0.957853
0.006582 0.957550
0.006682 0.956640
0.006781 0.955731
0.006880 0.955124
0.006980 0.955124
0.007079 0.954215
0.007178 0.953911
0.007278 0.953305
0.007377 0.952395
0.007476 0.950576
0.007576 0.949666
0.007675 0.949666
0.007774 0.949666
0.007874 0.949363
0.007973 0.949060
0.008072 0.949060
0.008172 0.948454
0.008271 0.948454
0.008370 0.948150
0.008469 0.948150
0.008569 0.947544
0.008668 0.947241
0.008767 0.946028
0.008867 0.945725
0.008966 0.944512
0.009065 0.943602
0.009165 0.943299
0.009264 0.943299
0.009363 0.942996
0.009463 0.942389
0.009562 0.942389
0.009661 0.941176
0.009761 0.940873
0.009860 0.940267
0.009959 0.939660
0.010059 0.938448
0.010158 0.937235
0.010257 0.936325
0.010357 0.936325
0.010456 0.936325
0.010555 0.935415
0.010655 0.935415
0.010754 0.934809
0.010853 0.934809
0.010953 0.934809
0.011052 0.934506
0.011151 0.934203
0.011251 0.932990
0.011350 0.931777
0.011449 0.931170
0.011549 0.930564
0.011648 0.929958
0.011747 0.929048
0.011847 0.928138
0.011946 0.928138
0.012045 0.926925
0.012145 0.926925
0.012244 0.926016
0.012343 0.925409
0.012443 0.925409
0.012542 0.925106
0.012641 0.924500
0.012741 0.923287
0.012840 0.923287
0.012939 0.922984
0.013039 0.922680
0.013138 0.921164
0.013237 0.921164
0.013337 0.920861
0.013436 0.920861
0.013535 0.920558
0.013635 0.920255
0.013734 0.919951
0.013833 0.919648
0.013933 0.919648
0.014032 0.919345
0.014131 0.919345
0.014231 0.919042
0.014330 0.918739
0.014429 0.918435
0.014529 0.918132
0.014628 0.918132
0.014727 0.917829
0.014827 0.917526
0.014926 0.916616
0.015025 0.915706
0.015125 0.915403
0.015224 0.915100
0.015323 0.913887
0.015423 0.913281
0.015522 0.913281
0.015621 0.913281
0.015721 0.912978
0.015820 0.912674
0.015919 0.912371
0.016019 0.912068
0.016118 0.911461
0.016217 0.910552
0.016317 0.910249
0.016416 0.909945
0.016515 0.909339
0.016615 0.909036
0.016714 0.908429
0.016813 0.908429
0.016913 0.908429
0.017012 0.907823
0.017111 0.907216
0.017211 0.907216
0.017310 0.906307
0.017409 0.906004
0.017509 0.905700
0.017608 0.905700
0.017707 0.905700
0.017807 0.905397
0.017906 0.905094
0.018005 0.904791
0.018105 0.904488
0.018204 0.904184
0.018303 0.903578
0.018403 0.902668
0.018502 0.902668
0.018601 0.902365
0.018701 0.902062
0.018800 0.902062
0.018899 0.901759
0.018999 0.901759
0.019098 0.901759
0.019197 0.901152
0.019297 0.900849
0.019396 0.900849
0.019495 0.900546
0.019595 0.900243
0.019694 0.900243
0.019793 0.899939
0.019893 0.899030
0.019992 0.898727
0.020091 0.898727
0.020191 0.898423
0.020290 0.897817
0.020389 0.897514
0.020489 0.896907
0.020588 0.896907
0.020687 0.896604
0.020787 0.896604
0.020886 0.895998
0.020985 0.895391
0.021085 0.895391
0.021184 0.894785
0.021283 0.894785
0.021383 0.894785
0.021482 0.894785
0.021581 0.894178
0.021681 0.893572
0.021780 0.893572
0.021879 0.893269
0.021979 0.892965
0.022078 0.892965
0.022177 0.892359
0.022277 0.892359
0.022376 0.892056
0.022475 0.892056
0.022575 0.891753
0.022674 0.891753
0.022773 0.891449
0.022873 0.891449
0.022972 0.890843
0.023071 0.890540
0.023171 0.889933
0.023270 0.889933
0.023369 0.889630
0.023469 0.889327
0.023568 0.888720
0.023667 0.888720
0.023767 0.888720
0.023866 0.888720
0.023965 0.888417
0.024065 0.888417
0.024164 0.888417
0.024263 0.887811
0.024363 0.887811
0.024462 0.887811
0.024561 0.887811
0.024661 0.887811
0.024760 0.887811
0.024859 0.887204
0.024959 0.886901
0.025058 0.886901
0.025157 0.886901
0.025257 0.886598
0.025356 0.886598
0.025455 0.886598
0.025555 0.885992
0.025654 0.885992
0.025753 0.885082
0.025853 0.885082
0.025952 0.885082
0.026051 0.885082
0.026151 0.885082
0.026250 0.885082
0.026349 0.884779
0.026449 0.884779
0.026548 0.884779
0.026647 0.884172
0.026747 0.883566
0.026846 0.883566
0.026945 0.882959
0.027045 0.882353
0.027144 0.882353
0.027243 0.882050
0.027343 0.881747
0.027442 0.881443
0.027541 0.881140
0.027641 0.881140
0.027740 0.881140
0.027839 0.880837
0.027939 0.880837
0.028038 0.880534
0.028137 0.880534
0.028237 0.880230
0.028336 0.879624
0.028435 0.879624
0.028535 0.879321
0.028634 0.879018
0.028733 0.878411
0.028833 0.878108
0.028932 0.877805
0.029031 0.877502
0.029131 0.877502
0.029230 0.877198
0.029329 0.877198
0.029429 0.877198
0.029528 0.876895
0.029627 0.876895
0.029727 0.876592
0.029826 0.876592
0.029925 0.876592
0.030025 0.876592
0.030124 0.876289
0.030223 0.875682
0.030323 0.875379
0.030422 0.875379
0.030521 0.875076
0.030621 0.874773
0.030720 0.874773
0.030819 0.874773
0.030919 0.874773
0.031018 0.874773
0.031117 0.874773
0.031217 0.874773
0.031316 0.874773
0.031415 0.874773
0.031515 0.874773
0.031614 0.874773
0.031713 0.873863
0.031812 0.873560
0.031912 0.873257
0.032011 0.872953
0.032110 0.872650
0.032210 0.872347
0.032309 0.872347
0.032408 0.872347
0.032508 0.872347
0.032607 0.871740
0.032706 0.871740
0.032806 0.871740
0.032905 0.871437
0.033004 0.871134
0.033104 0.870831
0.033203 0.870831
0.033302 0.870528
0.033402 0.870224
0.033501 0.869921
0.033600 0.869618
0.033700 0.869315
0.033799 0.869012
0.033898 0.868708
0.033998 0.868102
0.034097 0.867495
0.034196 0.867495
0.034296 0.867495
0.034395 0.867495
0.034494 0.867192
0.034594 0.867192
0.034693 0.866889
0.034792 0.866586
0.034892 0.865676
0.034991 0.865070
0.035090 0.864463
0.035190 0.864160
0.035289 0.863554
0.035388 0.863250
0.035488 0.863250
0.035587 0.862644
0.035686 0.862341
0.035786 0.862038
0.035885 0.862038
0.035984 0.862038
0.036084 0.861734
0.036183 0.861128
0.036282 0.860522
0.036382 0.860522
0.036481 0.860522
0.036580 0.860522
0.036680 0.859915
0.036779 0.859612
0.036878 0.859005
0.036978 0.859005
0.037077 0.858702
0.037176 0.858702
0.037276 0.858702
0.037375 0.858399
0.037474 0.858399
0.037574 0.858399
0.037673 0.858399
0.037772 0.857793
0.037872 0.857793
0.037971 0.857489
0.038070 0.857489
0.038170 0.857489
0.038269 0.856883
