# Threshold Efficiency
0.000722 1.000000
0.000821 1.000000
0.000920 1.000000
0.001020 1.000000
0.001119 1.000000
0.001218 1.000000
0.001318 1.000000
0.001417 1.000000
0.001516 1.000000
0.001616 1.000000
0.001715 1.000000
0.001814 1.000000
0.001914 1.000000
0.002013 1.000000
0.002112 1.000000
0.002212 1.000000
0.002311 1.000000
0.002410 1.000000
0.002510 0.999704
0.002609 0.999704
0.002708 0.999704
0.002808 0.999704
0.002907 0.999704
0.003006 0.999704
0.003106 0.999704
0.003205 0.999704
0.003304 0.999704
0.003404 0.999704
0.003503 0.999704
0.003602 0.999704
0.003702 0.999704
0.003801 0.999704
0.003900 0.999704
0.004000 0.999704
0.004099 0.999704
0.004198 0.999704
0.004298 0.999704
0.004397 0.999704
0.004496 0.999704
0.004596 0.999704
0.004695 0.999704
0.004794 0.999704
0.004894 0.999704
0.004993 0.999704
0.005092 0.999704
0.005192 0.999704
0.005291 0.999704
0.005390 0.999704
0.005490 0.999704
0.005589 0.999704
0.005688 0.999409
0.005788 0.999409
0.005887 0.999409
0.005986 0.999409
0.006086 0.999409
0.006185 0.999409
0.006284 0.999409
0.006384 0.999409
0.006483 0.999409
0.006582 0.999409
0.006682 0.999409
0.006781 0.999409
0.006880 0.999409
0.006980 0.999409
0.007079 0.999409
0.007178 0.999409
0.007278 0.999409
0.007377 0.999409
0.007476 0.999409
0.007576 0.999409
0.007675 0.999409
0.007774 0.999409
0.007874 0.999409
0.007973 0.999409
0.008072 0.999409
0.008172 0.999409
0.008271 0.999409
0.008370 0.999409
0.008469 0.999409
0.008569 0.999409
0.008668 0.999113
0.008767 0.999113
0.008867 0.999113
0.008966 0.999113
0.009065 0.999113
0.009165 0.999113
0.009264 0.999113
0.009363 0.999113
0.009463 0.999113
0.009562 0.999113
0.009661 0.999113
0.009761 0.999113
0.009860 0.999113
0.009959 0.999113
0.010059 0.999113
0.010158 0.999113
0.010257 0.999113
0.010357 0.999113
0.010456 0.999113
0.010555 0.999113
0.010655 0.999113
0.010754 0.999113
0.010853 0.999113
0.010953 0.999113
0.011052 0.999113
0.011151 0.999113
0.011251 0.999113
0.011350 0.999113
0.011449 0.999113
0.011549 0.999113
0.011648 0.999113
0.011747 0.999113
0.011847 0.999113
0.011946 0.999113
0.012045 0.999113
0.012145 0.999113
0.012244 0.999113
0.012343 0.999113
0.012443 0.999113
0.012542 0.999113
0.012641 0.999113
0.012741 0.999113
0.012840 0.999113
0.012939 0.999113
0.013039 0.999113
0.013138 0.999113
0.013237 0.999113
0.013337 0.999113
0.013436 0.999113
0.013535 0.999113
0.013635 0.999113
0.013734 0.999113
0.013833 0.999113
0.013933 0.999113
0.014032 0.999113
0.014131 0.999113
0.014231 0.999113
0.014330 0.999113
0.014429 0.999113
0.014529 0.999113
0.014628 0.999113
0.014727 0.999113
0.014827 0.999113
0.014926 0.999113
0.015025 0.999113
0.015125 0.999113
0.015224 0.999113
0.015323 0.999113
0.015423 0.999113
0.015522 0.999113
0.015621 0.999113
0.015721 0.999113
0.015820 0.999113
0.015919 0.999113
0.016019 0.999113
0.016118 0.999113
0.016217 0.999113
0.016317 0.999113
