# Threshold Efficiency
0.007633 1.000000
0.007731 1.000000
0.007830 1.000000
0.007929 1.000000
0.008027 1.000000
0.008126 1.000000
0.008225 1.000000
0.008323 1.000000
0.008422 1.000000
0.008520 1.000000
0.008619 1.000000
0.008718 1.000000
0.008816 1.000000
0.008915 1.000000
0.009014 1.000000
0.009112 1.000000
0.009211 1.000000
0.009310 1.000000
0.009408 1.000000
0.009507 1.000000
0.009606 1.000000
0.009704 1.000000
0.009803 1.000000
0.009901 1.000000
0.010000 1.000000
0.010099 1.000000
0.010197 1.000000
0.010296 1.000000
0.010395 1.000000
0.010493 1.000000
0.010592 1.000000
0.010691 1.000000
0.010789 1.000000
0.010888 1.000000
0.010987 1.000000
0.011085 1.000000
0.011184 1.000000
0.011282 1.000000
0.011381 1.000000
0.011480 1.000000
0.011578 1.000000
0.011677 1.000000
0.011776 1.000000
0.011874 1.000000
0.011973 1.000000
0.012072 1.000000
0.012170 1.000000
0.012269 1.000000
0.012367 1.000000
0.012466 1.000000
0.012565 1.000000
0.012663 1.000000
0.012762 1.000000
0.012861 1.000000
0.012959 1.000000
0.013058 1.000000
0.013157 1.000000
0.013255 1.000000
0.013354 1.000000
0.013453 1.000000
0.013551 1.000000
0.013650 1.000000
0.013748 1.000000
0.013847 1.000000
0.013946 1.000000
0.014044 1.000000
0.014143 1.000000
0.014242 1.000000
0.014340 1.000000
0.014439 1.000000
0.014538 1.000000
0.014636 1.000000
0.014735 1.000000
0.014834 1.000000
0.014932 1.000000
0.015031 1.000000
0.015129 1.000000
0.015228 1.000000
0.015327 1.000000
0.015425 1.000000
0.015524 1.000000
0.015623 1.000000
0.015721 1.000000
0.015820 1.000000
0.015919 1.000000
0.016017 1.000000
0.016116 1.000000
0.016215 1.000000
0.016313 1.000000
0.016412 1.000000
0.016510 1.000000
0.016609 1.000000
0.016708 1.000000
0.016806 1.000000
0.016905 1.000000
0.017004 1.000000
0.017102 1.000000
0.017201 1.000000
0.017300 1.000000
0.017398 1.000000
0.017497 1.000000
0.017595 1.000000
0.017694 1.000000
0.017793 1.000000
0.017891 1.000000
0.017990 1.000000
0.018089 1.000000
0.018187 1.000000
0.018286 1.000000
0.018385 1.000000
0.018483 1.000000
0.018582 1.000000
0.018681 1.000000
0.018779 1.000000
0.018878 1.000000
0.018976 1.000000
0.019075 1.000000
0.019174 1.000000
0.019272 1.000000
0.019371 1.000000
0.019470 1.000000
0.019568 1.000000
0.019667 1.000000
0.019766 1.000000
0.019864 1.000000
0.019963 1.000000
0.020062 1.000000
0.020160 1.000000
0.020259 1.000000
0.020357 1.000000
0.020456 1.000000
0.020555 1.000000
0.020653 1.000000
0.020752 1.000000
0.020851 1.000000
0.020949 1.000000
0.021048 1.000000
0.021147 1.000000
0.021245 1.000000
0.021344 1.000000
0.021443 1.000000
0.021541 1.000000
0.021640 1.000000
0.021738 1.000000
0.021837 1.000000
0.021936 1.000000
0.022034 1.000000
0.022133 1.000000
0.022232 1.000000
0.022330 1.000000
0.022429 1.000000
0.022528 1.000000
0.022626 1.000000
0.022725 1.000000
0.022823 1.000000
0.022922 1.000000
0.023021 1.000000
0.023119 1.000000
0.023218 1.000000
0.023317 1.000000
0.023415 1.000000
0.023514 1.000000
0.023613 1.000000
0.023711 1.000000
0.023810 1.000000
0.023909 1.000000
0.024007 1.000000
0.024106 1.000000
0.024204 1.000000
0.024303 1.000000
0.024402 1.000000
0.024500 1.000000
0.024599 1.000000
0.024698 1.000000
0.024796 1.000000
0.024895 1.000000
0.024994 1.000000
0.025092 1.000000
0.025191 1.000000
0.025290 1.000000
0.025388 1.000000
0.025487 1.000000
0.025585 1.000000
0.025684 1.000000
0.025783 1.000000
0.025881 1.000000
0.025980 1.000000
0.026079 1.000000
0.026177 1.000000
0.026276 1.000000
0.026375 1.000000
0.026473 1.000000
0.026572 1.000000
0.026671 1.000000
0.026769 1.000000
0.026868 1.000000
0.026966 1.000000
0.027065 1.000000
0.027164 1.000000
0.027262 1.000000
0.027361 1.000000
0.027460 1.000000
0.027558 1.000000
0.027657 1.000000
0.027756 1.000000
0.027854 1.000000
0.027953 1.000000
0.028051 1.000000
0.028150 1.000000
0.028249 1.000000
0.028347 1.000000
0.028446 1.000000
0.028545 1.000000
0.028643 1.000000
0.028742 1.000000
0.028841 1.000000
0.028939 1.000000
0.029038 1.000000
0.029137 1.000000
0.029235 1.000000
0.029334 1.000000
0.029432 1.000000
0.029531 1.000000
0.029630 1.000000
0.029728 1.000000
0.029827 1.000000
0.029926 1.000000
0.030024 1.000000
0.030123 1.000000
0.030222 1.000000
0.030320 1.000000
0.030419 1.000000
0.030518 1.000000
0.030616 1.000000
0.030715 1.000000
0.030813 1.000000
0.030912 1.000000
0.031011 1.000000
0.031109 1.000000
0.031208 1.000000
0.031307 1.000000
0.031405 0.999755
0.031504 0.999755
0.031603 0.999755
0.031701 0.999755
0.031800 0.999755
0.031899 0.999755
0.031997 0.999755
0.032096 0.999755
0.032194 0.999755
0.032293 0.999755
0.032392 0.999755
0.032490 0.999755
0.032589 0.999755
0.032688 0.999755
0.032786 0.999755
0.032885 0.999755
0.032984 0.999755
0.033082 0.999755
0.033181 0.999755
0.033279 0.999755
0.033378 0.999755
0.033477 0.999511
0.033575 0.999511
0.033674 0.999511
0.033773 0.999511
0.033871 0.999511
0.033970 0.999511
0.034069 0.999511
0.034167 0.999511
0.034266 0.999511
0.034365 0.999511
0.034463 0.999511
0.034562 0.999511
0.034660 0.999511
0.034759 0.999511
0.034858 0.999511
0.034956 0.999511
0.035055 0.999511
0.035154 0.999511
0.035252 0.999511
0.035351 0.999511
0.035450 0.999511
0.035548 0.999511
0.035647 0.999511
0.035746 0.999511
0.035844 0.999511
0.035943 0.999511
0.036041 0.999511
0.036140 0.999511
0.036239 0.999511
0.036337 0.999511
0.036436 0.999511
0.036535 0.999511
0.036633 0.999511
0.036732 0.999511
0.036831 0.999511
0.036929 0.999511
0.037028 0.999511
0.037127 0.999511
0.037225 0.999511
0.037324 0.999511
0.037422 0.999511
0.037521 0.999511
0.037620 0.999511
0.037718 0.999511
0.037817 0.999511
0.037916 0.999511
0.038014 0.999511
0.038113 0.999511
0.038212 0.999266
0.038310 0.999266
0.038409 0.999266
0.038507 0.999266
0.038606 0.999266
0.038705 0.999266
0.038803 0.999266
0.038902 0.999021
0.039001 0.999021
0.039099 0.999021
0.039198 0.999021
0.039297 0.999021
0.039395 0.999021
0.039494 0.999021
0.039593 0.999021
0.039691 0.999021
0.039790 0.999021
0.039888 0.999021
0.039987 0.999021
0.040086 0.999021
0.040184 0.999021
0.040283 0.999021
0.040382 0.999021
0.040480 0.999021
0.040579 0.999021
0.040678 0.999021
0.040776 0.999021
0.040875 0.999021
0.040974 0.999021
0.041072 0.999021
0.041171 0.999021
0.041269 0.999021
0.041368 0.999021
0.041467 0.999021
0.041565 0.999021
0.041664 0.999021
0.041763 0.999021
0.041861 0.999021
0.041960 0.999021
0.042059 0.999021
0.042157 0.999021
0.042256 0.999021
0.042355 0.999021
0.042453 0.999021
0.042552 0.999021
0.042650 0.999021
0.042749 0.999021
0.042848 0.999021
0.042946 0.999021
0.043045 0.999021
0.043144 0.999021
0.043242 0.999021
0.043341 0.999021
0.043440 0.999021
0.043538 0.999021
0.043637 0.999021
0.043735 0.999021
0.043834 0.999021
0.043933 0.999021
0.044031 0.999021
0.044130 0.999021
0.044229 0.998777
0.044327 0.998777
0.044426 0.998777
0.044525 0.998777
0.044623 0.998777
0.044722 0.998777
0.044821 0.998777
0.044919 0.998532
0.045018 0.998532
0.045116 0.998532
0.045215 0.998532
0.045314 0.998532
0.045412 0.998532
0.045511 0.998532
0.045610 0.998532
0.045708 0.998532
0.045807 0.998532
0.045906 0.998532
0.046004 0.998532
0.046103 0.998532
0.046202 0.998532
0.046300 0.998532
0.046399 0.998532
0.046497 0.998532
0.046596 0.998532
0.046695 0.998532
0.046793 0.998532
0.046892 0.998287
0.046991 0.998287
0.047089 0.998287
0.047188 0.998287
0.047287 0.998287
0.047385 0.998287
0.047484 0.998287
0.047583 0.998287
0.047681 0.998287
0.047780 0.998287
0.047878 0.998287
0.047977 0.998287
0.048076 0.998287
0.048174 0.998287
0.048273 0.998287
0.048372 0.998287
0.048470 0.998287
0.048569 0.998287
0.048668 0.998287
0.048766 0.998287
0.048865 0.998287
0.048964 0.998287
