# Threshold Efficiency
0.020364 0.999382
0.020461 0.999382
0.020557 0.998763
0.020654 0.998763
0.020751 0.998763
0.020848 0.998763
0.020944 0.998763
0.021041 0.998763
0.021138 0.998763
0.021234 0.998763
0.021331 0.998763
0.021428 0.998763
0.021524 0.998763
0.021621 0.998763
0.021718 0.998763
0.021815 0.998763
0.021911 0.998763
0.022008 0.998763
0.022105 0.998763
0.022201 0.998763
0.022298 0.998763
0.022395 0.998763
0.022491 0.998763
0.022588 0.998763
0.022685 0.998763
0.022781 0.998763
0.022878 0.998763
0.022975 0.998763
0.023072 0.998763
0.023168 0.998763
0.023265 0.998763
0.023362 0.998763
0.023458 0.998763
0.023555 0.998763
0.023652 0.998763
0.023748 0.998763
0.023845 0.998763
0.023942 0.998763
0.024039 0.998763
0.024135 0.998763
0.024232 0.998763
0.024329 0.998763
0.024425 0.998763
0.024522 0.998763
0.024619 0.998763
0.024715 0.998763
0.024812 0.998763
0.024909 0.998763
0.025005 0.998763
0.025102 0.998763
0.025199 0.998763
0.025296 0.998763
0.025392 0.998763
0.025489 0.998763
0.025586 0.998763
0.025682 0.998763
0.025779 0.998763
0.025876 0.998763
0.025972 0.998763
0.026069 0.998763
0.026166 0.998763
0.026263 0.998763
0.026359 0.998763
0.026456 0.998763
0.026553 0.998763
0.026649 0.998763
0.026746 0.998763
0.026843 0.998763
0.026939 0.998763
0.027036 0.998763
0.027133 0.998763
0.027229 0.998763
0.027326 0.998763
0.027423 0.998763
0.027520 0.998145
0.027616 0.998145
0.027713 0.998145
0.027810 0.998145
0.027906 0.997526
0.028003 0.997526
0.028100 0.996908
0.028196 0.996908
0.028293 0.996908
0.028390 0.996908
0.028487 0.996908
0.028583 0.996908
0.028680 0.996908
0.028777 0.996908
0.028873 0.996908
0.028970 0.996908
0.029067 0.996908
0.029163 0.996908
0.029260 0.996908
0.029357 0.996289
0.029453 0.996289
0.029550 0.996289
0.029647 0.996289
0.029744 0.996289
0.029840 0.996289
0.029937 0.996289
0.030034 0.996289
0.030130 0.996289
0.030227 0.996289
0.030324 0.996289
0.030420 0.996289
0.030517 0.996289
0.030614 0.996289
0.030711 0.995671
0.030807 0.995671
0.030904 0.995671
0.031001 0.995671
0.031097 0.995053
0.031194 0.995053
0.031291 0.994434
0.031387 0.994434
0.031484 0.994434
0.031581 0.994434
0.031677 0.994434
0.031774 0.994434
0.031871 0.994434
0.031968 0.994434
0.032064 0.993816
0.032161 0.993816
0.032258 0.993197
0.032354 0.993197
0.032451 0.993197
0.032548 0.993197
0.032644 0.993197
0.032741 0.993197
0.032838 0.993197
0.032935 0.993197
0.033031 0.993197
0.033128 0.993197
0.033225 0.993197
0.033321 0.993197
0.033418 0.993197
0.033515 0.992579
0.033611 0.992579
0.033708 0.992579
0.033805 0.992579
0.033902 0.992579
0.033998 0.991342
0.034095 0.991342
0.034192 0.991342
0.034288 0.991342
0.034385 0.991342
0.034482 0.991342
0.034578 0.991342
0.034675 0.990724
0.034772 0.990724
0.034868 0.990724
0.034965 0.990724
0.035062 0.990105
0.035159 0.989487
0.035255 0.989487
0.035352 0.988868
0.035449 0.988868
0.035545 0.988868
0.035642 0.988868
0.035739 0.988868
0.035835 0.988868
0.035932 0.988868
0.036029 0.988868
0.036126 0.988868
0.036222 0.988868
0.036319 0.988868
0.036416 0.988868
0.036512 0.988868
0.036609 0.988868
0.036706 0.988250
0.036802 0.988250
0.036899 0.987631
0.036996 0.987631
0.037092 0.987013
0.037189 0.987013
0.037286 0.987013
0.037383 0.987013
0.037479 0.986395
0.037576 0.986395
0.037673 0.986395
0.037769 0.986395
0.037866 0.986395
0.037963 0.985776
0.038059 0.985776
0.038156 0.985158
0.038253 0.985158
0.038350 0.985158
0.038446 0.984539
0.038543 0.984539
0.038640 0.984539
0.038736 0.983921
0.038833 0.982684
0.038930 0.982684
0.039026 0.982684
0.039123 0.982684
0.039220 0.982684
0.039316 0.982684
0.039413 0.982684
0.039510 0.982684
0.039607 0.982684
0.039703 0.982684
0.039800 0.982684
0.039897 0.982684
0.039993 0.982684
0.040090 0.982684
0.040187 0.982684
0.040283 0.982684
0.040380 0.982066
0.040477 0.981447
0.040574 0.980829
0.040670 0.980210
0.040767 0.979592
0.040864 0.979592
0.040960 0.979592
0.041057 0.979592
0.041154 0.979592
0.041250 0.979592
0.041347 0.979592
0.041444 0.979592
0.041540 0.979592
0.041637 0.979592
0.041734 0.979592
0.041831 0.979592
0.041927 0.979592
0.042024 0.979592
0.042121 0.978973
0.042217 0.978973
0.042314 0.978355
0.042411 0.978355
0.042507 0.978355
0.042604 0.978355
0.042701 0.978355
0.042798 0.978355
0.042894 0.978355
0.042991 0.978355
0.043088 0.977737
0.043184 0.977737
0.043281 0.977737
0.043378 0.977737
0.043474 0.977737
0.043571 0.977118
0.043668 0.975881
0.043764 0.975881
0.043861 0.975881
0.043958 0.975263
0.044055 0.975263
0.044151 0.975263
0.044248 0.975263
0.044345 0.974026
0.044441 0.974026
0.044538 0.974026
0.044635 0.974026
0.044731 0.974026
0.044828 0.973408
0.044925 0.972789
0.045022 0.972789
0.045118 0.972789
0.045215 0.972789
0.045312 0.971552
0.045408 0.970934
0.045505 0.970934
0.045602 0.970934
0.045698 0.970934
0.045795 0.970934
0.045892 0.970934
0.045988 0.970934
0.046085 0.970315
0.046182 0.969079
0.046279 0.969079
0.046375 0.969079
0.046472 0.969079
0.046569 0.969079
0.046665 0.968460
0.046762 0.968460
0.046859 0.968460
0.046955 0.968460
0.047052 0.968460
0.047149 0.968460
0.047246 0.968460
0.047342 0.968460
0.047439 0.967842
0.047536 0.967842
0.047632 0.967223
0.047729 0.967223
0.047826 0.966605
0.047922 0.966605
0.048019 0.965368
0.048116 0.964750
0.048213 0.964750
0.048309 0.963513
0.048406 0.963513
0.048503 0.963513
0.048599 0.963513
0.048696 0.963513
0.048793 0.963513
0.048889 0.963513
0.048986 0.962894
0.049083 0.962276
0.049179 0.961039
0.049276 0.960421
0.049373 0.959802
0.049470 0.959802
0.049566 0.959802
0.049663 0.959184
0.049760 0.959184
0.049856 0.959184
0.049953 0.958565
0.050050 0.958565
0.050146 0.957947
0.050243 0.957947
0.050340 0.957947
0.050437 0.957947
0.050533 0.957947
0.050630 0.957947
0.050727 0.957947
0.050823 0.957947
0.050920 0.957947
0.051017 0.957947
0.051113 0.957328
0.051210 0.957328
0.051307 0.957328
0.051403 0.957328
0.051500 0.957328
0.051597 0.957328
0.051694 0.957328
0.051790 0.957328
0.051887 0.957328
0.051984 0.957328
0.052080 0.957328
0.052177 0.957328
0.052274 0.957328
0.052370 0.957328
0.052467 0.956092
0.052564 0.956092
0.052661 0.955473
0.052757 0.954855
0.052854 0.954236
0.052951 0.954236
0.053047 0.954236
0.053144 0.954236
0.053241 0.954236
0.053337 0.954236
0.053434 0.953618
0.053531 0.953618
0.053627 0.953618
0.053724 0.953618
0.053821 0.953618
0.053918 0.952999
0.054014 0.952999
0.054111 0.952999
0.054208 0.952999
0.054304 0.952999
0.054401 0.952999
0.054498 0.952999
0.054594 0.952999
0.054691 0.952999
0.054788 0.951144
0.054885 0.951144
0.054981 0.951144
0.055078 0.951144
0.055175 0.951144
0.055271 0.949907
0.055368 0.949907
0.055465 0.949289
0.055561 0.949289
0.055658 0.949289
0.055755 0.949289
0.055851 0.948670
0.055948 0.948670
0.056045 0.948052
0.056142 0.948052
0.056238 0.948052
0.056335 0.948052
0.056432 0.948052
0.056528 0.948052
0.056625 0.948052
0.056722 0.948052
0.056818 0.947434
0.056915 0.947434
0.057012 0.946815
0.057109 0.946815
0.057205 0.946815
0.057302 0.946815
0.057399 0.946197
0.057495 0.945578
0.057592 0.944960
0.057689 0.944960
0.057785 0.944960
0.057882 0.944960
0.057979 0.944960
0.058075 0.944341
0.058172 0.944341
0.058269 0.944341
0.058366 0.944341
0.058462 0.944341
0.058559 0.944341
0.058656 0.944341
0.058752 0.944341
0.058849 0.944341
0.058946 0.944341
0.059042 0.944341
0.059139 0.944341
0.059236 0.944341
0.059333 0.943723
0.059429 0.943105
0.059526 0.943105
0.059623 0.943105
0.059719 0.943105
0.059816 0.941868
0.059913 0.941868
0.060009 0.941868
0.060106 0.941868
0.060203 0.941868
0.060300 0.941868
0.060396 0.941249
0.060493 0.941249
0.060590 0.940631
0.060686 0.940631
0.060783 0.940012
0.060880 0.940012
0.060976 0.940012
0.061073 0.940012
0.061170 0.940012
0.061266 0.940012
0.061363 0.939394
0.061460 0.939394
0.061557 0.939394
0.061653 0.939394
0.061750 0.939394
0.061847 0.939394
0.061943 0.938776
0.062040 0.938776
0.062137 0.938776
0.062233 0.938157
0.062330 0.938157
0.062427 0.937539
0.062524 0.937539
0.062620 0.937539
0.062717 0.937539
0.062814 0.937539
0.062910 0.936920
0.063007 0.936920
0.063104 0.936920
0.063200 0.936920
0.063297 0.936920
0.063394 0.936302
0.063490 0.936302
0.063587 0.936302
0.063684 0.936302
0.063781 0.936302
0.063877 0.936302
0.063974 0.936302
0.064071 0.936302
0.064167 0.935683
0.064264 0.935065
0.064361 0.934447
0.064457 0.934447
0.064554 0.934447
0.064651 0.934447
0.064748 0.934447
0.064844 0.934447
0.064941 0.934447
0.065038 0.934447
0.065134 0.934447
0.065231 0.933210
0.065328 0.932591
0.065424 0.932591
0.065521 0.931973
0.065618 0.931973
0.065714 0.931973
0.065811 0.931354
0.065908 0.931354
0.066005 0.931354
0.066101 0.931354
0.066198 0.931354
0.066295 0.931354
0.066391 0.931354
0.066488 0.931354
0.066585 0.930736
0.066681 0.930118
0.066778 0.929499
0.066875 0.929499
0.066972 0.929499
0.067068 0.928881
0.067165 0.928881
0.067262 0.928881
0.067358 0.928262
0.067455 0.928262
0.067552 0.927644
0.067648 0.927025
0.067745 0.927025
0.067842 0.927025
0.067938 0.926407
0.068035 0.925170
0.068132 0.925170
0.068229 0.925170
0.068325 0.925170
0.068422 0.924552
0.068519 0.924552
0.068615 0.924552
0.068712 0.923933
0.068809 0.922696
0.068905 0.922078
0.069002 0.922078
0.069099 0.922078
0.069196 0.921459
0.069292 0.921459
0.069389 0.921459
0.069486 0.921459
0.069582 0.921459
0.069679 0.921459
0.069776 0.920841
0.069872 0.920841
0.069969 0.920841
0.070066 0.920223
0.070162 0.920223
0.070259 0.919604
0.070356 0.919604
0.070453 0.919604
0.070549 0.918986
0.070646 0.918986
0.070743 0.918986
0.070839 0.918986
0.070936 0.918367
0.071033 0.917749
0.071129 0.917749
0.071226 0.917749
0.071323 0.917749
0.071420 0.917130
0.071516 0.917130
0.071613 0.917130
0.071710 0.917130
0.071806 0.917130
0.071903 0.915894
0.072000 0.915894
0.072096 0.915894
0.072193 0.915894
0.072290 0.915894
0.072386 0.915894
0.072483 0.915894
0.072580 0.915275
0.072677 0.915275
0.072773 0.915275
0.072870 0.914657
0.072967 0.914657
0.073063 0.914657
0.073160 0.914657
0.073257 0.914657
0.073353 0.914038
0.073450 0.912801
0.073547 0.912801
0.073644 0.912801
0.073740 0.912801
0.073837 0.912801
0.073934 0.912801
0.074030 0.912801
0.074127 0.912801
0.074224 0.912801
0.074320 0.912801
0.074417 0.912801
0.074514 0.912801
0.074611 0.912801
0.074707 0.912801
0.074804 0.912801
0.074901 0.910946
0.074997 0.910946
0.075094 0.910946
0.075191 0.910946
0.075287 0.910946
0.075384 0.910946
0.075481 0.910328
0.075577 0.910328
0.075674 0.909709
0.075771 0.909091
0.075868 0.909091
0.075964 0.909091
0.076061 0.909091
0.076158 0.908472
0.076254 0.907854
0.076351 0.907854
0.076448 0.907854
0.076544 0.907854
