# Threshold Efficiency
0.004046 0.999382
0.004145 0.999382
0.004244 0.999382
0.004343 0.999382
0.004442 0.999382
0.004541 0.999382
0.004640 0.999382
0.004739 0.999382
0.004838 0.999382
0.004937 0.999382
0.005036 0.999382
0.005135 0.999382
0.005234 0.999382
0.005333 0.999382
0.005432 0.999382
0.005531 0.999382
0.005630 0.999382
0.005729 0.999382
0.005828 0.999382
0.005927 0.999382
0.006026 0.999382
0.006125 0.999382
0.006224 0.999382
0.006323 0.999382
0.006423 0.999382
0.006522 0.999382
0.006621 0.999382
0.006720 0.999382
0.006819 0.999382
0.006918 0.999382
0.007017 0.998763
0.007116 0.998763
0.007215 0.998145
0.007314 0.998145
0.007413 0.998145
0.007512 0.997526
0.007611 0.997526
0.007710 0.997526
0.007809 0.997526
0.007908 0.997526
0.008007 0.997526
0.008106 0.997526
0.008205 0.996908
0.008304 0.996908
0.008403 0.996908
0.008502 0.996908
0.008601 0.996908
0.008700 0.996908
0.008799 0.996908
0.008898 0.996908
0.008997 0.996908
0.009096 0.996908
0.009195 0.996908
0.009294 0.996908
0.009393 0.996908
0.009492 0.996908
0.009591 0.996908
0.009690 0.996908
0.009789 0.996908
0.009889 0.996908
0.009988 0.996908
0.010087 0.996908
0.010186 0.996908
0.010285 0.996908
0.010384 0.996908
0.010483 0.996908
0.010582 0.996908
0.010681 0.996908
0.010780 0.996908
0.010879 0.996908
0.010978 0.996908
0.011077 0.996908
0.011176 0.996908
0.011275 0.996908
0.011374 0.996908
0.011473 0.996908
0.011572 0.996908
0.011671 0.996908
0.011770 0.996908
0.011869 0.996908
0.011968 0.996289
0.012067 0.996289
0.012166 0.996289
0.012265 0.995671
0.012364 0.995671
0.012463 0.995671
0.012562 0.995671
0.012661 0.995671
0.012760 0.995671
0.012859 0.995671
0.012958 0.995671
0.013057 0.995671
0.013156 0.995671
0.013255 0.995671
0.013355 0.995671
0.013454 0.995671
0.013553 0.995671
0.013652 0.995671
0.013751 0.995671
0.013850 0.995671
0.013949 0.995671
0.014048 0.995671
0.014147 0.995671
0.014246 0.995671
0.014345 0.995671
0.014444 0.995671
0.014543 0.995671
0.014642 0.995671
0.014741 0.995671
0.014840 0.995671
0.014939 0.995671
0.015038 0.995671
0.015137 0.995671
0.015236 0.995671
0.015335 0.995671
0.015434 0.995671
0.015533 0.995671
0.015632 0.995671
0.015731 0.995053
0.015830 0.995053
0.015929 0.995053
0.016028 0.995053
0.016127 0.995053
0.016226 0.995053
0.016325 0.995053
0.016424 0.995053
0.016523 0.995053
0.016622 0.995053
0.016721 0.995053
0.016821 0.995053
0.016920 0.995053
0.017019 0.995053
0.017118 0.995053
0.017217 0.994434
0.017316 0.994434
0.017415 0.994434
0.017514 0.994434
0.017613 0.994434
0.017712 0.994434
0.017811 0.994434
0.017910 0.994434
0.018009 0.994434
0.018108 0.994434
0.018207 0.993816
0.018306 0.993816
0.018405 0.993816
0.018504 0.993816
0.018603 0.993816
0.018702 0.993816
0.018801 0.993816
0.018900 0.993816
0.018999 0.993197
0.019098 0.993197
0.019197 0.992579
0.019296 0.992579
0.019395 0.992579
0.019494 0.992579
0.019593 0.992579
0.019692 0.992579
0.019791 0.992579
0.019890 0.992579
0.019989 0.992579
0.020088 0.992579
0.020187 0.992579
0.020287 0.992579
0.020386 0.992579
0.020485 0.992579
0.020584 0.992579
0.020683 0.992579
0.020782 0.992579
0.020881 0.992579
0.020980 0.992579
0.021079 0.992579
0.021178 0.992579
0.021277 0.992579
0.021376 0.992579
0.021475 0.992579
0.021574 0.991960
0.021673 0.991960
0.021772 0.991960
0.021871 0.991960
0.021970 0.991960
0.022069 0.991960
0.022168 0.991960
0.022267 0.991960
0.022366 0.991960
0.022465 0.991960
0.022564 0.991960
0.022663 0.991960
0.022762 0.991960
0.022861 0.991960
0.022960 0.991960
0.023059 0.991960
0.023158 0.991342
0.023257 0.991342
0.023356 0.991342
0.023455 0.991342
