# Threshold Efficiency
0.004046 1.000000
0.004145 1.000000
0.004244 1.000000
0.004343 1.000000
0.004442 1.000000
0.004541 1.000000
0.004640 1.000000
0.004739 1.000000
0.004838 1.000000
0.004937 1.000000
0.005036 1.000000
0.005135 1.000000
0.005234 1.000000
0.005333 1.000000
0.005432 1.000000
0.005531 1.000000
0.005630 1.000000
0.005729 1.000000
0.005828 1.000000
0.005927 1.000000
0.006026 1.000000
0.006125 1.000000
0.006224 1.000000
0.006323 1.000000
0.006423 1.000000
0.006522 1.000000
0.006621 1.000000
0.006720 1.000000
0.006819 1.000000
0.006918 1.000000
0.007017 1.000000
0.007116 1.000000
0.007215 1.000000
0.007314 1.000000
0.007413 1.000000
0.007512 1.000000
0.007611 1.000000
0.007710 1.000000
0.007809 1.000000
0.007908 1.000000
0.008007 1.000000
0.008106 1.000000
0.008205 1.000000
0.008304 1.000000
0.008403 1.000000
0.008502 1.000000
0.008601 1.000000
0.008700 1.000000
0.008799 1.000000
0.008898 1.000000
0.008997 1.000000
0.009096 1.000000
0.009195 1.000000
0.009294 1.000000
0.009393 1.000000
0.009492 1.000000
0.009591 1.000000
0.009690 1.000000
0.009789 1.000000
0.009889 0.999373
0.009988 0.999373
0.010087 0.999373
0.010186 0.999373
0.010285 0.999373
0.010384 0.999373
0.010483 0.999373
0.010582 0.999373
0.010681 0.999373
0.010780 0.999373
0.010879 0.999373
0.010978 0.999373
0.011077 0.999373
0.011176 0.999373
0.011275 0.999373
0.011374 0.999373
0.011473 0.999373
0.011572 0.999373
0.011671 0.999373
0.011770 0.999373
0.011869 0.999373
0.011968 0.999373
0.012067 0.999373
0.012166 0.999373
0.012265 0.999373
0.012364 0.999373
0.012463 0.999373
0.012562 0.999373
0.012661 0.999373
0.012760 0.999373
0.012859 0.999373
0.012958 0.999373
0.013057 0.999373
0.013156 0.999373
0.013255 0.999373
0.013355 0.999373
0.013454 0.999373
0.013553 0.999373
0.013652 0.999373
0.013751 0.999373
0.013850 0.999373
0.013949 0.999373
0.014048 0.999373
0.014147 0.999373
0.014246 0.999373
0.014345 0.999373
0.014444 0.999373
0.014543 0.999373
0.014642 0.999373
0.014741 0.999373
0.014840 0.999373
0.014939 0.999373
0.015038 0.999373
0.015137 0.999373
0.015236 0.999373
0.015335 0.999373
0.015434 0.999373
0.015533 0.999373
0.015632 0.999373
0.015731 0.999373
0.015830 0.999373
0.015929 0.999373
0.016028 0.999373
0.016127 0.999373
0.016226 0.999373
0.016325 0.999373
0.016424 0.999373
0.016523 0.999373
0.016622 0.999373
0.016721 0.999373
0.016821 0.999373
0.016920 0.999373
0.017019 0.999373
0.017118 0.999373
0.017217 0.999373
0.017316 0.999373
0.017415 0.999373
0.017514 0.999373
0.017613 0.999373
0.017712 0.999373
0.017811 0.999373
0.017910 0.999373
0.018009 0.999373
0.018108 0.999373
0.018207 0.999373
0.018306 0.999373
0.018405 0.999373
0.018504 0.999373
0.018603 0.999373
0.018702 0.999373
0.018801 0.999373
0.018900 0.999373
0.018999 0.999373
0.019098 0.999373
0.019197 0.999373
0.019296 0.999373
0.019395 0.999373
0.019494 0.999373
0.019593 0.999373
0.019692 0.999373
0.019791 0.999373
0.019890 0.999373
0.019989 0.999373
0.020088 0.999373
0.020187 0.999373
0.020287 0.999373
0.020386 0.999373
0.020485 0.999373
