# Threshold Efficiency
0.001522 0.999697
0.001621 0.999697
0.001720 0.999697
0.001819 0.999697
0.001918 0.999697
0.002017 0.999697
0.002116 0.999394
0.002215 0.999394
0.002314 0.999394
0.002413 0.999394
0.002512 0.998787
0.002611 0.997878
0.002711 0.997271
0.002810 0.997271
0.002909 0.996665
0.003008 0.996058
0.003107 0.996058
0.003206 0.995755
0.003305 0.995452
0.003404 0.995452
0.003503 0.994845
0.003602 0.994845
0.003701 0.994542
0.003800 0.993936
0.003899 0.992420
0.003999 0.992420
0.004098 0.991813
0.004197 0.991510
0.004296 0.990600
0.004395 0.990297
0.004494 0.989388
0.004593 0.989388
0.004692 0.988478
0.004791 0.988175
0.004890 0.987568
0.004989 0.986355
0.005088 0.986052
0.005188 0.985446
0.005287 0.985446
0.005386 0.985446
0.005485 0.984536
0.005584 0.984536
0.005683 0.983626
0.005782 0.983323
0.005881 0.983020
0.005980 0.982717
0.006079 0.982414
0.006178 0.981807
0.006277 0.981807
0.006376 0.981201
0.006476 0.980594
0.006575 0.979988
0.006674 0.979685
0.006773 0.979685
0.006872 0.979685
0.006971 0.979381
0.007070 0.978775
0.007169 0.977865
0.007268 0.977865
0.007367 0.976956
0.007466 0.976653
0.007565 0.976653
0.007665 0.976349
0.007764 0.976046
0.007863 0.976046
0.007962 0.976046
0.008061 0.975440
0.008160 0.975440
0.008259 0.974833
0.008358 0.974227
0.008457 0.973924
0.008556 0.973620
0.008655 0.973014
0.008754 0.971498
0.008853 0.970891
0.008953 0.970588
0.009052 0.970285
0.009151 0.970285
0.009250 0.969679
0.009349 0.969679
0.009448 0.969679
0.009547 0.969375
0.009646 0.968163
0.009745 0.968163
0.009844 0.967859
0.009943 0.967859
0.010042 0.966950
0.010142 0.966040
0.010241 0.965130
0.010340 0.965130
0.010439 0.965130
0.010538 0.964827
0.010637 0.964827
0.010736 0.964524
0.010835 0.964221
0.010934 0.963311
0.011033 0.963008
0.011132 0.962705
0.011231 0.962705
0.011330 0.962401
0.011430 0.962401
0.011529 0.962098
0.011628 0.961189
0.011727 0.960582
0.011826 0.959369
0.011925 0.959369
0.012024 0.959066
0.012123 0.959066
0.012222 0.958460
0.012321 0.958156
0.012420 0.957853
0.012519 0.957853
0.012619 0.957247
0.012718 0.956944
0.012817 0.956640
0.012916 0.956337
0.013015 0.956337
0.013114 0.956034
0.013213 0.955731
0.013312 0.955731
0.013411 0.954821
0.013510 0.953911
0.013609 0.953608
0.013708 0.953608
0.013807 0.953305
0.013907 0.953002
0.014006 0.953002
0.014105 0.952395
0.014204 0.952395
0.014303 0.951789
0.014402 0.951789
0.014501 0.951183
0.014600 0.951183
0.014699 0.950576
0.014798 0.950576
0.014897 0.950576
0.014996 0.950273
0.015096 0.950273
0.015195 0.950273
0.015294 0.949666
0.015393 0.949060
0.015492 0.948150
0.015591 0.947544
0.015690 0.947544
0.015789 0.947544
0.015888 0.947544
0.015987 0.947544
0.016086 0.947241
0.016185 0.946634
0.016284 0.946634
0.016384 0.946331
0.016483 0.946028
0.016582 0.945118
0.016681 0.944512
0.016780 0.944512
0.016879 0.943905
0.016978 0.943299
0.017077 0.942996
0.017176 0.942693
0.017275 0.942389
0.017374 0.942086
0.017473 0.941783
0.017573 0.941783
0.017672 0.941176
0.017771 0.941176
0.017870 0.941176
0.017969 0.940873
0.018068 0.940873
0.018167 0.940570
0.018266 0.940267
0.018365 0.939964
0.018464 0.939964
0.018563 0.939964
0.018662 0.939964
0.018761 0.939964
0.018861 0.939964
0.018960 0.939660
0.019059 0.939660
0.019158 0.938751
0.019257 0.938751
0.019356 0.937841
0.019455 0.937841
0.019554 0.937538
0.019653 0.937235
0.019752 0.936931
0.019851 0.936628
0.019950 0.936022
0.020050 0.935719
0.020149 0.935415
0.020248 0.935415
0.020347 0.935112
0.020446 0.934809
0.020545 0.934203
0.020644 0.933596
0.020743 0.932686
0.020842 0.932686
0.020941 0.932383
0.021040 0.932080
0.021139 0.931777
0.021238 0.931474
0.021338 0.931170
0.021437 0.931170
0.021536 0.931170
0.021635 0.929958
0.021734 0.929654
0.021833 0.929048
0.021932 0.928441
0.022031 0.928441
0.022130 0.928441
0.022229 0.927835
0.022328 0.927532
0.022427 0.926925
0.022527 0.926925
0.022626 0.926925
0.022725 0.926925
0.022824 0.926925
0.022923 0.926319
0.023022 0.926319
0.023121 0.926319
0.023220 0.925409
0.023319 0.925106
0.023418 0.924803
0.023517 0.924500
0.023616 0.924196
0.023715 0.924196
0.023815 0.924196
0.023914 0.923590
0.024013 0.923287
0.024112 0.922984
0.024211 0.922984
0.024310 0.922680
0.024409 0.922377
0.024508 0.922377
0.024607 0.922074
0.024706 0.921771
0.024805 0.921468
0.024904 0.921164
0.025004 0.920861
0.025103 0.920861
0.025202 0.920558
0.025301 0.920255
0.025400 0.919648
0.025499 0.919648
0.025598 0.919345
0.025697 0.919345
0.025796 0.919042
0.025895 0.918435
0.025994 0.918435
0.026093 0.918132
0.026192 0.917829
0.026292 0.917526
0.026391 0.917526
0.026490 0.916919
0.026589 0.916919
0.026688 0.916616
0.026787 0.916313
0.026886 0.916010
0.026985 0.916010
0.027084 0.916010
0.027183 0.915706
0.027282 0.915706
0.027381 0.915706
0.027481 0.915706
0.027580 0.914797
0.027679 0.914190
0.027778 0.913887
0.027877 0.913887
0.027976 0.913887
0.028075 0.912978
0.028174 0.912978
0.028273 0.912674
0.028372 0.912371
0.028471 0.912371
0.028570 0.912371
0.028669 0.912068
0.028769 0.911765
0.028868 0.911461
0.028967 0.911158
0.029066 0.910855
0.029165 0.910855
0.029264 0.910552
0.029363 0.910552
0.029462 0.910249
0.029561 0.910249
0.029660 0.910249
0.029759 0.909642
0.029858 0.909642
0.029958 0.909642
0.030057 0.909036
0.030156 0.909036
0.030255 0.909036
0.030354 0.909036
0.030453 0.909036
0.030552 0.909036
0.030651 0.908429
0.030750 0.907823
0.030849 0.907823
0.030948 0.907520
0.031047 0.906610
0.031147 0.906307
0.031246 0.906004
0.031345 0.906004
0.031444 0.906004
0.031543 0.905397
0.031642 0.904488
0.031741 0.904184
0.031840 0.903578
0.031939 0.902971
0.032038 0.902971
0.032137 0.902668
0.032236 0.902365
0.032335 0.902062
0.032435 0.901759
0.032534 0.901759
0.032633 0.901455
0.032732 0.901455
0.032831 0.901455
0.032930 0.901455
0.033029 0.901455
0.033128 0.900849
0.033227 0.900546
0.033326 0.900546
0.033425 0.900546
0.033524 0.900243
0.033624 0.900243
0.033723 0.900243
0.033822 0.899939
0.033921 0.899030
0.034020 0.899030
0.034119 0.898423
0.034218 0.898423
0.034317 0.897817
0.034416 0.897817
0.034515 0.897210
0.034614 0.896907
0.034713 0.896907
0.034812 0.895998
0.034912 0.895694
0.035011 0.895088
0.035110 0.894785
0.035209 0.894482
0.035308 0.894482
0.035407 0.894482
0.035506 0.894178
0.035605 0.894178
0.035704 0.893572
0.035803 0.893572
0.035902 0.893269
0.036001 0.892359
0.036101 0.892359
0.036200 0.891753
0.036299 0.890843
0.036398 0.890540
