# Threshold Efficiency
0.001522 1.000000
0.001621 1.000000
0.001720 1.000000
0.001819 1.000000
0.001918 1.000000
0.002017 1.000000
0.002116 1.000000
0.002215 1.000000
0.002314 1.000000
0.002413 1.000000
0.002512 1.000000
0.002611 1.000000
0.002711 1.000000
0.002810 1.000000
0.002909 1.000000
0.003008 1.000000
0.003107 1.000000
0.003206 1.000000
0.003305 1.000000
0.003404 1.000000
0.003503 1.000000
0.003602 1.000000
0.003701 1.000000
0.003800 1.000000
0.003899 1.000000
0.003999 1.000000
0.004098 1.000000
0.004197 1.000000
0.004296 1.000000
0.004395 1.000000
0.004494 1.000000
0.004593 1.000000
0.004692 1.000000
0.004791 1.000000
0.004890 1.000000
0.004989 1.000000
0.005088 1.000000
0.005188 1.000000
0.005287 1.000000
0.005386 1.000000
0.005485 1.000000
0.005584 1.000000
0.005683 1.000000
0.005782 1.000000
0.005881 1.000000
0.005980 1.000000
0.006079 1.000000
0.006178 1.000000
0.006277 1.000000
0.006376 1.000000
0.006476 1.000000
0.006575 1.000000
0.006674 1.000000
0.006773 1.000000
0.006872 1.000000
0.006971 1.000000
0.007070 1.000000
0.007169 1.000000
0.007268 1.000000
0.007367 1.000000
0.007466 1.000000
0.007565 1.000000
0.007665 1.000000
0.007764 1.000000
0.007863 1.000000
0.007962 1.000000
0.008061 1.000000
0.008160 1.000000
0.008259 1.000000
0.008358 1.000000
0.008457 1.000000
0.008556 1.000000
0.008655 1.000000
0.008754 1.000000
0.008853 1.000000
0.008953 1.000000
0.009052 1.000000
0.009151 1.000000
0.009250 1.000000
0.009349 1.000000
0.009448 0.999704
0.009547 0.999704
0.009646 0.999704
0.009745 0.999704
0.009844 0.999704
0.009943 0.999704
0.010042 0.999704
0.010142 0.999704
0.010241 0.999704
0.010340 0.999704
0.010439 0.999704
0.010538 0.999704
0.010637 0.999704
0.010736 0.999704
0.010835 0.999704
0.010934 0.999704
0.011033 0.999704
0.011132 0.999704
0.011231 0.999704
0.011330 0.999704
0.011430 0.999704
0.011529 0.999704
0.011628 0.999704
0.011727 0.999704
0.011826 0.999704
0.011925 0.999704
0.012024 0.999704
0.012123 0.999704
0.012222 0.999704
0.012321 0.999704
0.012420 0.999704
0.012519 0.999704
0.012619 0.999704
0.012718 0.999704
0.012817 0.999704
0.012916 0.999704
0.013015 0.999704
0.013114 0.999704
0.013213 0.999704
0.013312 0.999704
0.013411 0.999704
0.013510 0.999704
0.013609 0.999704
0.013708 0.999704
0.013807 0.999704
0.013907 0.999704
0.014006 0.999704
0.014105 0.999704
0.014204 0.999704
0.014303 0.999704
0.014402 0.999704
0.014501 0.999704
0.014600 0.999704
0.014699 0.999704
0.014798 0.999704
0.014897 0.999704
0.014996 0.999704
0.015096 0.999704
0.015195 0.999704
0.015294 0.999704
0.015393 0.999704
0.015492 0.999704
0.015591 0.999704
0.015690 0.999704
0.015789 0.999704
0.015888 0.999704
0.015987 0.999704
0.016086 0.999704
0.016185 0.999704
0.016284 0.999704
0.016384 0.999704
0.016483 0.999704
0.016582 0.999704
0.016681 0.999704
0.016780 0.999704
0.016879 0.999704
0.016978 0.999704
0.017077 0.999704
0.017176 0.999704
0.017275 0.999704
0.017374 0.999704
0.017473 0.999704
0.017573 0.999704
0.017672 0.999704
0.017771 0.999704
0.017870 0.999704
0.017969 0.999704
0.018068 0.999704
0.018167 0.999704
0.018266 0.999704
0.018365 0.999409
0.018464 0.999409
0.018563 0.999409
0.018662 0.999409
0.018761 0.999409
0.018861 0.999409
0.018960 0.999409
0.019059 0.999409
0.019158 0.999409
0.019257 0.999409
0.019356 0.999409
0.019455 0.999409
0.019554 0.999409
0.019653 0.999409
0.019752 0.999409
0.019851 0.999409
0.019950 0.999409
0.020050 0.999409
0.020149 0.999409
0.020248 0.999409
0.020347 0.999409
0.020446 0.999409
0.020545 0.999113
0.020644 0.999113
0.020743 0.999113
0.020842 0.999113
0.020941 0.998818
0.021040 0.998818
0.021139 0.998818
0.021238 0.998818
0.021338 0.998818
0.021437 0.998818
0.021536 0.998818
0.021635 0.998818
0.021734 0.998818
0.021833 0.998818
0.021932 0.998818
0.022031 0.998818
0.022130 0.998818
0.022229 0.998818
0.022328 0.998818
0.022427 0.998818
0.022527 0.998818
0.022626 0.998818
0.022725 0.998818
0.022824 0.998818
0.022923 0.998818
0.023022 0.998818
0.023121 0.998818
0.023220 0.998818
0.023319 0.998818
0.023418 0.998818
0.023517 0.998818
0.023616 0.998818
0.023715 0.998818
0.023815 0.998818
0.023914 0.998818
0.024013 0.998818
0.024112 0.998818
0.024211 0.998818
0.024310 0.998818
0.024409 0.998818
0.024508 0.998818
0.024607 0.998818
0.024706 0.998818
0.024805 0.998818
0.024904 0.998818
0.025004 0.998818
0.025103 0.998818
0.025202 0.998818
0.025301 0.998818
0.025400 0.998818
0.025499 0.998818
0.025598 0.998818
0.025697 0.998818
0.025796 0.998818
0.025895 0.998818
0.025994 0.998818
0.026093 0.998818
0.026192 0.998522
0.026292 0.998522
0.026391 0.998522
0.026490 0.998522
0.026589 0.998522
0.026688 0.998227
0.026787 0.998227
0.026886 0.998227
0.026985 0.998227
0.027084 0.998227
0.027183 0.998227
0.027282 0.998227
0.027381 0.998227
0.027481 0.998227
0.027580 0.998227
0.027679 0.998227
0.027778 0.998227
0.027877 0.998227
0.027976 0.998227
0.028075 0.998227
0.028174 0.998227
0.028273 0.998227
0.028372 0.998227
0.028471 0.998227
0.028570 0.998227
0.028669 0.998227
0.028769 0.998227
0.028868 0.998227
0.028967 0.998227
0.029066 0.998227
0.029165 0.998227
0.029264 0.998227
0.029363 0.998227
0.029462 0.998227
0.029561 0.998227
0.029660 0.998227
0.029759 0.998227
0.029858 0.998227
0.029958 0.997931
0.030057 0.997636
0.030156 0.997636
0.030255 0.997636
0.030354 0.997636
0.030453 0.997636
0.030552 0.997636
0.030651 0.997636
0.030750 0.997636
0.030849 0.997636
0.030948 0.997636
0.031047 0.997636
0.031147 0.997636
0.031246 0.997636
0.031345 0.997636
0.031444 0.997636
0.031543 0.997636
0.031642 0.997636
0.031741 0.997636
0.031840 0.997636
0.031939 0.997636
0.032038 0.997636
0.032137 0.997636
0.032236 0.997636
0.032335 0.997636
0.032435 0.997636
0.032534 0.997636
0.032633 0.997636
0.032732 0.997636
0.032831 0.997636
0.032930 0.997636
0.033029 0.997636
0.033128 0.997340
0.033227 0.997340
0.033326 0.997340
0.033425 0.997340
0.033524 0.997340
0.033624 0.997340
0.033723 0.997340
0.033822 0.997340
0.033921 0.997340
0.034020 0.997340
0.034119 0.997340
0.034218 0.997340
0.034317 0.997340
0.034416 0.997340
0.034515 0.997340
0.034614 0.997045
0.034713 0.997045
0.034812 0.997045
0.034912 0.997045
0.035011 0.997045
0.035110 0.997045
0.035209 0.997045
0.035308 0.997045
0.035407 0.997045
0.035506 0.997045
0.035605 0.997045
0.035704 0.997045
0.035803 0.997045
0.035902 0.997045
0.036001 0.997045
0.036101 0.997045
0.036200 0.997045
0.036299 0.996749
0.036398 0.996454
0.036497 0.996454
0.036596 0.996454
0.036695 0.996454
0.036794 0.996454
0.036893 0.996454
0.036992 0.996454
0.037091 0.996454
0.037190 0.996454
0.037289 0.996454
0.037389 0.996454
0.037488 0.996454
0.037587 0.996454
0.037686 0.996454
0.037785 0.996454
0.037884 0.996454
0.037983 0.996454
0.038082 0.996454
0.038181 0.996454
0.038280 0.996454
0.038379 0.996454
0.038478 0.996454
0.038578 0.996454
0.038677 0.996454
0.038776 0.996454
0.038875 0.996454
0.038974 0.996454
0.039073 0.996454
0.039172 0.996454
0.039271 0.996454
0.039370 0.996454
0.039469 0.996454
0.039568 0.996454
0.039667 0.996454
0.039766 0.996454
0.039866 0.996454
0.039965 0.996454
0.040064 0.996454
0.040163 0.996454
0.040262 0.996454
0.040361 0.996454
0.040460 0.996454
0.040559 0.996454
0.040658 0.996454
0.040757 0.996454
0.040856 0.996454
0.040955 0.996454
0.041055 0.996454
0.041154 0.996454
0.041253 0.996454
0.041352 0.996454
0.041451 0.996454
0.041550 0.996454
0.041649 0.996454
0.041748 0.996454
0.041847 0.996454
0.041946 0.996454
0.042045 0.996454
0.042144 0.996454
0.042243 0.996454
0.042343 0.996454
0.042442 0.996454
0.042541 0.996454
0.042640 0.996454
0.042739 0.996454
0.042838 0.996454
0.042937 0.996454
0.043036 0.996454
0.043135 0.996454
0.043234 0.996454
0.043333 0.996454
0.043432 0.996454
0.043532 0.996454
0.043631 0.996454
0.043730 0.996454
0.043829 0.996454
0.043928 0.996454
0.044027 0.996454
0.044126 0.996454
0.044225 0.996158
0.044324 0.996158
0.044423 0.996158
0.044522 0.996158
0.044621 0.996158
0.044720 0.996158
0.044820 0.996158
0.044919 0.996158
0.045018 0.996158
0.045117 0.996158
0.045216 0.996158
0.045315 0.996158
0.045414 0.996158
0.045513 0.996158
0.045612 0.996158
0.045711 0.995863
0.045810 0.995863
0.045909 0.995863
0.046009 0.995863
0.046108 0.995863
0.046207 0.995863
0.046306 0.995863
0.046405 0.995863
0.046504 0.995863
0.046603 0.995863
0.046702 0.995863
0.046801 0.995863
0.046900 0.995863
0.046999 0.995863
0.047098 0.995863
0.047197 0.995863
0.047297 0.995863
0.047396 0.995863
0.047495 0.995567
0.047594 0.995567
