# Threshold Efficiency
0.005063 0.999275
0.005161 0.999275
0.005259 0.999275
0.005358 0.999275
0.005456 0.999275
0.005554 0.999275
0.005652 0.999275
0.005751 0.999275
0.005849 0.999275
0.005947 0.999275
0.006046 0.999275
0.006144 0.999275
0.006242 0.999275
0.006340 0.999275
0.006439 0.999275
0.006537 0.999275
0.006635 0.998551
0.006733 0.998551
0.006832 0.998551
0.006930 0.998551
0.007028 0.998551
0.007127 0.998551
0.007225 0.998551
0.007323 0.998551
0.007421 0.998551
0.007520 0.998551
0.007618 0.998551
0.007716 0.998551
0.007814 0.998551
0.007913 0.998551
0.008011 0.998551
0.008109 0.998551
0.008208 0.998551
0.008306 0.997826
0.008404 0.997826
0.008502 0.997826
0.008601 0.997826
0.008699 0.997826
0.008797 0.997826
0.008895 0.997826
0.008994 0.997826
0.009092 0.997826
0.009190 0.997826
0.009289 0.997826
0.009387 0.997826
0.009485 0.997826
0.009583 0.997826
0.009682 0.997101
0.009780 0.996377
0.009878 0.996377
0.009976 0.996377
0.010075 0.996377
0.010173 0.995652
0.010271 0.994928
0.010370 0.994928
0.010468 0.994928
0.010566 0.994928
0.010664 0.994928
0.010763 0.994928
0.010861 0.994928
0.010959 0.994928
0.011057 0.994203
0.011156 0.994203
0.011254 0.992754
0.011352 0.992029
0.011451 0.992029
0.011549 0.992029
0.011647 0.992029
0.011745 0.992029
0.011844 0.992029
0.011942 0.991304
0.012040 0.991304
0.012138 0.990580
0.012237 0.990580
0.012335 0.989130
0.012433 0.989130
0.012532 0.988406
0.012630 0.988406
0.012728 0.988406
0.012826 0.988406
0.012925 0.988406
0.013023 0.988406
0.013121 0.986957
0.013219 0.986957
0.013318 0.986957
0.013416 0.986232
0.013514 0.986232
0.013612 0.986232
0.013711 0.986232
0.013809 0.985507
0.013907 0.984783
0.014006 0.984058
0.014104 0.984058
0.014202 0.984058
0.014300 0.983333
0.014399 0.983333
0.014497 0.983333
0.014595 0.983333
0.014693 0.983333
0.014792 0.983333
0.014890 0.983333
0.014988 0.982609
0.015087 0.982609
0.015185 0.981884
0.015283 0.981159
0.015381 0.981159
0.015480 0.980435
0.015578 0.980435
0.015676 0.980435
