# Threshold Efficiency
0.005063 1.000000
0.005161 1.000000
0.005259 1.000000
0.005358 1.000000
0.005456 1.000000
0.005554 1.000000
0.005652 1.000000
0.005751 1.000000
0.005849 1.000000
0.005947 1.000000
0.006046 1.000000
0.006144 1.000000
0.006242 1.000000
0.006340 1.000000
0.006439 1.000000
0.006537 1.000000
0.006635 1.000000
0.006733 1.000000
0.006832 1.000000
0.006930 1.000000
0.007028 1.000000
0.007127 1.000000
0.007225 1.000000
0.007323 1.000000
0.007421 1.000000
0.007520 1.000000
0.007618 1.000000
0.007716 1.000000
0.007814 1.000000
0.007913 1.000000
0.008011 1.000000
0.008109 1.000000
0.008208 1.000000
0.008306 1.000000
0.008404 1.000000
0.008502 1.000000
0.008601 1.000000
0.008699 1.000000
0.008797 1.000000
0.008895 1.000000
0.008994 1.000000
0.009092 1.000000
0.009190 1.000000
0.009289 1.000000
0.009387 1.000000
0.009485 1.000000
0.009583 1.000000
0.009682 1.000000
0.009780 1.000000
0.009878 1.000000
0.009976 1.000000
0.010075 1.000000
0.010173 1.000000
0.010271 1.000000
0.010370 1.000000
0.010468 1.000000
0.010566 1.000000
0.010664 1.000000
0.010763 1.000000
0.010861 1.000000
0.010959 1.000000
0.011057 1.000000
0.011156 1.000000
0.011254 1.000000
0.011352 1.000000
0.011451 1.000000
0.011549 1.000000
0.011647 1.000000
0.011745 1.000000
0.011844 1.000000
0.011942 1.000000
0.012040 1.000000
0.012138 1.000000
0.012237 1.000000
0.012335 1.000000
0.012433 1.000000
0.012532 1.000000
0.012630 1.000000
0.012728 1.000000
0.012826 1.000000
0.012925 1.000000
0.013023 1.000000
0.013121 1.000000
0.013219 1.000000
0.013318 1.000000
0.013416 1.000000
0.013514 1.000000
0.013612 1.000000
0.013711 1.000000
0.013809 1.000000
0.013907 1.000000
0.014006 1.000000
0.014104 1.000000
0.014202 1.000000
0.014300 1.000000
0.014399 1.000000
0.014497 1.000000
0.014595 1.000000
0.014693 1.000000
0.014792 1.000000
0.014890 1.000000
0.014988 1.000000
0.015087 1.000000
0.015185 1.000000
0.015283 1.000000
0.015381 1.000000
0.015480 1.000000
0.015578 1.000000
0.015676 1.000000
0.015774 1.000000
0.015873 1.000000
0.015971 1.000000
0.016069 1.000000
0.016168 1.000000
0.016266 1.000000
0.016364 1.000000
0.016462 1.000000
0.016561 1.000000
0.016659 1.000000
0.016757 1.000000
0.016855 1.000000
0.016954 1.000000
0.017052 1.000000
0.017150 1.000000
0.017249 1.000000
0.017347 1.000000
0.017445 1.000000
0.017543 0.999305
0.017642 0.999305
0.017740 0.999305
0.017838 0.999305
0.017936 0.999305
0.018035 0.999305
0.018133 0.999305
0.018231 0.999305
0.018330 0.999305
0.018428 0.999305
0.018526 0.999305
0.018624 0.999305
0.018723 0.999305
0.018821 0.999305
0.018919 0.998609
0.019017 0.998609
0.019116 0.998609
0.019214 0.998609
0.019312 0.998609
0.019411 0.998609
0.019509 0.998609
0.019607 0.998609
0.019705 0.998609
0.019804 0.998609
0.019902 0.998609
0.020000 0.998609
0.020098 0.998609
0.020197 0.998609
0.020295 0.998609
0.020393 0.998609
0.020491 0.998609
0.020590 0.998609
0.020688 0.998609
0.020786 0.998609
0.020885 0.998609
0.020983 0.998609
0.021081 0.998609
0.021179 0.998609
0.021278 0.998609
0.021376 0.998609
0.021474 0.998609
0.021572 0.998609
0.021671 0.998609
0.021769 0.998609
0.021867 0.998609
0.021966 0.998609
0.022064 0.998609
0.022162 0.998609
0.022260 0.998609
0.022359 0.998609
0.022457 0.998609
0.022555 0.998609
0.022653 0.998609
0.022752 0.998609
0.022850 0.998609
0.022948 0.998609
0.023047 0.998609
0.023145 0.998609
0.023243 0.998609
0.023341 0.998609
0.023440 0.998609
0.023538 0.998609
0.023636 0.998609
0.023734 0.998609
0.023833 0.998609
0.023931 0.998609
0.024029 0.998609
0.024128 0.998609
0.024226 0.998609
0.024324 0.998609
0.024422 0.998609
0.024521 0.998609
0.024619 0.998609
0.024717 0.998609
0.024815 0.998609
0.024914 0.998609
0.025012 0.998609
0.025110 0.998609
0.025209 0.998609
0.025307 0.998609
0.025405 0.998609
0.025503 0.998609
0.025602 0.998609
0.025700 0.998609
0.025798 0.998609
0.025896 0.998609
0.025995 0.998609
0.026093 0.998609
0.026191 0.998609
0.026290 0.998609
0.026388 0.998609
0.026486 0.998609
0.026584 0.997914
0.026683 0.997914
0.026781 0.997914
0.026879 0.997914
0.026977 0.997914
0.027076 0.997914
0.027174 0.997914
0.027272 0.997914
0.027370 0.997914
0.027469 0.997914
0.027567 0.997914
0.027665 0.997914
0.027764 0.997914
0.027862 0.997914
0.027960 0.997914
0.028058 0.997914
0.028157 0.997914
0.028255 0.997914
0.028353 0.997914
0.028451 0.997914
0.028550 0.997914
0.028648 0.997914
0.028746 0.997914
0.028845 0.997914
0.028943 0.997914
0.029041 0.997218
0.029139 0.997218
0.029238 0.997218
0.029336 0.997218
0.029434 0.997218
0.029532 0.997218
0.029631 0.997218
0.029729 0.997218
0.029827 0.997218
0.029926 0.997218
