# Threshold Efficiency
0.000707 0.999697
0.000807 0.999697
0.000906 0.999090
0.001005 0.999090
0.001104 0.998787
0.001204 0.998787
0.001303 0.996968
0.001402 0.996361
0.001502 0.996361
0.001601 0.995452
0.001700 0.993936
0.001799 0.993633
0.001899 0.993329
0.001998 0.992116
0.002097 0.991207
0.002197 0.990600
0.002296 0.989084
0.002395 0.987871
0.002495 0.986052
0.002594 0.985446
0.002693 0.984839
0.002792 0.983626
0.002892 0.982110
0.002991 0.981504
0.003090 0.981201
0.003190 0.979685
0.003289 0.977562
0.003388 0.976956
0.003487 0.975743
0.003587 0.974833
0.003686 0.973014
0.003785 0.973014
0.003885 0.972711
0.003984 0.972104
0.004083 0.970588
0.004182 0.969982
0.004282 0.968769
0.004381 0.968466
0.004480 0.967859
0.004580 0.966646
0.004679 0.964827
0.004778 0.963918
0.004877 0.963918
0.004977 0.963614
0.005076 0.963008
0.005175 0.962098
0.005275 0.961795
0.005374 0.961189
0.005473 0.959976
0.005573 0.959369
0.005672 0.959066
0.005771 0.958460
0.005870 0.957853
0.005970 0.957247
0.006069 0.956034
0.006168 0.954821
0.006268 0.953608
0.006367 0.953002
0.006466 0.952395
0.006565 0.950879
0.006665 0.950273
0.006764 0.950273
0.006863 0.949970
0.006963 0.949666
0.007062 0.948454
0.007161 0.947241
0.007260 0.946938
0.007360 0.946028
0.007459 0.945421
0.007558 0.943602
0.007658 0.942693
0.007757 0.941176
0.007856 0.939964
0.007955 0.939660
0.008055 0.939660
0.008154 0.938751
0.008253 0.938448
0.008353 0.937841
0.008452 0.936022
0.008551 0.935112
0.008651 0.935112
0.008750 0.935112
0.008849 0.934809
0.008948 0.934506
0.009048 0.933899
0.009147 0.933596
0.009246 0.932990
0.009346 0.932383
0.009445 0.931777
0.009544 0.931777
0.009643 0.931170
0.009743 0.930564
0.009842 0.929958
0.009941 0.929351
0.010041 0.928441
0.010140 0.927835
0.010239 0.926622
0.010338 0.925713
0.010438 0.925409
0.010537 0.924500
0.010636 0.924500
0.010736 0.924196
0.010835 0.924196
0.010934 0.923893
0.011033 0.923287
0.011133 0.922377
0.011232 0.922377
0.011331 0.921771
0.011431 0.921164
0.011530 0.921164
