# Threshold Efficiency
0.006840 1.000000
0.006937 1.000000
0.007034 1.000000
0.007132 1.000000
0.007229 1.000000
0.007326 1.000000
0.007423 1.000000
0.007520 1.000000
0.007617 1.000000
0.007714 1.000000
0.007811 1.000000
0.007909 1.000000
0.008006 1.000000
0.008103 1.000000
0.008200 1.000000
0.008297 1.000000
0.008394 1.000000
0.008491 1.000000
0.008589 1.000000
0.008686 1.000000
0.008783 1.000000
0.008880 1.000000
0.008977 1.000000
0.009074 1.000000
0.009171 1.000000
0.009268 1.000000
0.009366 1.000000
0.009463 1.000000
0.009560 1.000000
0.009657 1.000000
0.009754 1.000000
0.009851 1.000000
0.009948 1.000000
0.010046 1.000000
0.010143 1.000000
0.010240 1.000000
0.010337 1.000000
0.010434 1.000000
0.010531 1.000000
0.010628 1.000000
0.010726 1.000000
0.010823 1.000000
0.010920 1.000000
0.011017 1.000000
0.011114 1.000000
0.011211 1.000000
0.011308 1.000000
0.011405 1.000000
0.011503 1.000000
0.011600 1.000000
0.011697 1.000000
0.011794 1.000000
0.011891 1.000000
0.011988 1.000000
0.012085 1.000000
0.012183 1.000000
0.012280 1.000000
0.012377 1.000000
0.012474 1.000000
0.012571 1.000000
0.012668 1.000000
0.012765 1.000000
0.012862 1.000000
0.012960 1.000000
0.013057 1.000000
0.013154 1.000000
0.013251 1.000000
0.013348 1.000000
0.013445 1.000000
0.013542 1.000000
0.013640 1.000000
0.013737 1.000000
0.013834 1.000000
0.013931 1.000000
0.014028 1.000000
0.014125 1.000000
0.014222 1.000000
0.014319 1.000000
0.014417 1.000000
0.014514 1.000000
0.014611 1.000000
0.014708 1.000000
0.014805 1.000000
0.014902 1.000000
0.014999 1.000000
0.015097 1.000000
0.015194 1.000000
0.015291 1.000000
0.015388 1.000000
0.015485 1.000000
0.015582 1.000000
0.015679 1.000000
0.015776 1.000000
0.015874 1.000000
0.015971 1.000000
0.016068 1.000000
0.016165 1.000000
0.016262 1.000000
0.016359 1.000000
0.016456 1.000000
0.016554 1.000000
0.016651 1.000000
0.016748 1.000000
0.016845 1.000000
0.016942 1.000000
0.017039 1.000000
0.017136 1.000000
0.017234 1.000000
0.017331 1.000000
0.017428 1.000000
0.017525 1.000000
0.017622 1.000000
0.017719 1.000000
0.017816 1.000000
0.017913 1.000000
0.018011 1.000000
0.018108 1.000000
0.018205 1.000000
0.018302 1.000000
0.018399 1.000000
0.018496 1.000000
0.018593 1.000000
0.018691 1.000000
0.018788 1.000000
0.018885 1.000000
0.018982 1.000000
0.019079 1.000000
0.019176 1.000000
0.019273 1.000000
0.019370 1.000000
0.019468 1.000000
0.019565 1.000000
0.019662 1.000000
0.019759 1.000000
0.019856 1.000000
0.019953 1.000000
0.020050 1.000000
0.020148 1.000000
0.020245 1.000000
0.020342 1.000000
0.020439 1.000000
0.020536 1.000000
0.020633 1.000000
0.020730 1.000000
0.020827 1.000000
0.020925 1.000000
0.021022 1.000000
0.021119 1.000000
0.021216 1.000000
0.021313 1.000000
0.021410 1.000000
0.021507 1.000000
0.021605 1.000000
0.021702 1.000000
0.021799 1.000000
0.021896 1.000000
0.021993 1.000000
0.022090 1.000000
0.022187 1.000000
0.022284 1.000000
0.022382 1.000000
0.022479 1.000000
