# Threshold Efficiency
0.000707 1.000000
0.000807 1.000000
0.000906 1.000000
0.001005 1.000000
0.001104 1.000000
0.001204 1.000000
0.001303 1.000000
0.001402 1.000000
0.001502 1.000000
0.001601 1.000000
0.001700 1.000000
0.001799 1.000000
0.001899 1.000000
0.001998 1.000000
0.002097 1.000000
0.002197 1.000000
0.002296 1.000000
0.002395 1.000000
0.002495 1.000000
0.002594 1.000000
0.002693 1.000000
0.002792 1.000000
0.002892 0.999704
0.002991 0.999704
0.003090 0.999704
0.003190 0.999704
0.003289 0.999704
0.003388 0.999704
0.003487 0.999704
0.003587 0.999704
0.003686 0.999704
0.003785 0.999704
0.003885 0.999704
0.003984 0.999704
0.004083 0.999704
0.004182 0.999704
0.004282 0.999704
0.004381 0.999704
0.004480 0.999704
0.004580 0.999704
0.004679 0.999704
0.004778 0.999704
0.004877 0.999704
0.004977 0.999704
0.005076 0.999704
0.005175 0.999704
0.005275 0.999704
0.005374 0.999704
0.005473 0.999704
0.005573 0.999704
0.005672 0.999704
0.005771 0.999704
0.005870 0.999704
0.005970 0.999704
0.006069 0.999704
0.006168 0.999704
0.006268 0.999704
0.006367 0.999704
0.006466 0.999704
0.006565 0.999704
0.006665 0.999704
0.006764 0.999704
0.006863 0.999704
0.006963 0.999704
0.007062 0.999704
0.007161 0.999704
0.007260 0.999704
0.007360 0.999704
0.007459 0.999704
0.007558 0.999704
0.007658 0.999704
0.007757 0.999704
0.007856 0.999704
0.007955 0.999704
0.008055 0.999704
0.008154 0.999704
0.008253 0.999409
0.008353 0.999409
0.008452 0.999409
0.008551 0.999409
0.008651 0.999409
0.008750 0.999409
0.008849 0.999409
0.008948 0.999409
0.009048 0.999409
0.009147 0.999409
0.009246 0.999409
0.009346 0.999409
0.009445 0.999409
0.009544 0.999409
0.009643 0.999409
0.009743 0.999409
0.009842 0.999409
0.009941 0.999409
0.010041 0.999409
0.010140 0.999409
0.010239 0.999409
0.010338 0.999409
0.010438 0.999409
0.010537 0.999409
0.010636 0.999409
0.010736 0.999409
0.010835 0.999409
0.010934 0.999409
0.011033 0.999409
0.011133 0.999409
0.011232 0.999409
0.011331 0.999409
0.011431 0.999113
0.011530 0.999113
0.011629 0.999113
0.011728 0.999113
0.011828 0.999113
0.011927 0.999113
0.012026 0.999113
0.012126 0.999113
0.012225 0.999113
0.012324 0.999113
0.012424 0.999113
0.012523 0.999113
0.012622 0.999113
0.012721 0.999113
0.012821 0.999113
0.012920 0.999113
0.013019 0.999113
0.013119 0.999113
0.013218 0.999113
0.013317 0.999113
0.013416 0.999113
0.013516 0.999113
0.013615 0.999113
0.013714 0.999113
0.013814 0.999113
0.013913 0.999113
0.014012 0.999113
0.014111 0.999113
0.014211 0.999113
0.014310 0.999113
0.014409 0.999113
0.014509 0.999113
0.014608 0.999113
0.014707 0.999113
0.014806 0.999113
0.014906 0.999113
0.015005 0.999113
0.015104 0.999113
0.015204 0.999113
0.015303 0.999113
0.015402 0.999113
0.015502 0.999113
0.015601 0.999113
0.015700 0.999113
0.015799 0.999113
0.015899 0.999113
0.015998 0.999113
0.016097 0.999113
0.016197 0.999113
0.016296 0.999113
0.016395 0.999113
0.016494 0.999113
0.016594 0.999113
0.016693 0.999113
0.016792 0.999113
0.016892 0.999113
0.016991 0.999113
0.017090 0.999113
0.017189 0.999113
0.017289 0.999113
0.017388 0.999113
0.017487 0.999113
0.017587 0.999113
0.017686 0.998818
0.017785 0.998818
0.017884 0.998818
0.017984 0.998818
0.018083 0.998522
0.018182 0.998522
0.018282 0.998522
0.018381 0.998522
0.018480 0.998522
0.018580 0.998522
0.018679 0.998522
0.018778 0.998522
0.018877 0.998522
0.018977 0.998522
0.019076 0.998522
0.019175 0.998522
0.019275 0.998522
0.019374 0.998522
0.019473 0.998522
0.019572 0.998522
0.019672 0.998522
0.019771 0.998522
0.019870 0.998227
0.019970 0.998227
0.020069 0.998227
0.020168 0.998227
0.020267 0.998227
0.020367 0.998227
0.020466 0.998227
0.020565 0.998227
0.020665 0.998227
0.020764 0.998227
0.020863 0.998227
0.020962 0.998227
0.021062 0.998227
0.021161 0.998227
0.021260 0.998227
0.021360 0.998227
0.021459 0.998227
0.021558 0.998227
0.021658 0.998227
0.021757 0.998227
0.021856 0.998227
0.021955 0.998227
0.022055 0.998227
0.022154 0.998227
0.022253 0.998227
0.022353 0.998227
0.022452 0.998227
0.022551 0.998227
0.022650 0.998227
0.022750 0.998227
0.022849 0.998227
0.022948 0.998227
0.023048 0.998227
0.023147 0.998227
0.023246 0.998227
0.023345 0.997931
0.023445 0.997931
0.023544 0.997931
0.023643 0.997931
0.023743 0.997931
0.023842 0.997931
0.023941 0.997931
0.024040 0.997931
0.024140 0.997931
0.024239 0.997931
0.024338 0.997931
0.024438 0.997931
0.024537 0.997636
0.024636 0.997636
0.024735 0.997636
0.024835 0.997636
0.024934 0.997636
0.025033 0.997636
0.025133 0.997636
0.025232 0.997636
0.025331 0.997340
0.025431 0.997340
0.025530 0.997340
0.025629 0.997340
0.025728 0.997340
0.025828 0.997340
0.025927 0.997340
0.026026 0.997340
0.026126 0.997340
0.026225 0.997340
0.026324 0.997340
0.026423 0.997340
0.026523 0.997340
0.026622 0.997340
0.026721 0.997340
0.026821 0.997340
0.026920 0.997340
0.027019 0.997340
0.027118 0.997340
0.027218 0.997340
0.027317 0.997340
0.027416 0.997340
0.027516 0.997340
0.027615 0.997340
0.027714 0.997340
0.027813 0.997340
0.027913 0.997340
0.028012 0.997340
0.028111 0.997340
0.028211 0.997340
0.028310 0.997340
0.028409 0.997340
0.028509 0.997340
0.028608 0.997340
0.028707 0.997340
0.028806 0.997340
0.028906 0.997340
0.029005 0.997340
0.029104 0.997340
0.029204 0.997340
0.029303 0.997340
0.029402 0.997340
0.029501 0.997340
0.029601 0.997340
0.029700 0.997340
0.029799 0.997340
0.029899 0.997340
0.029998 0.997340
0.030097 0.997340
0.030196 0.997340
0.030296 0.997340
0.030395 0.997340
0.030494 0.997340
0.030594 0.997340
0.030693 0.997340
0.030792 0.997340
0.030891 0.997340
0.030991 0.997340
0.031090 0.997340
0.031189 0.997340
0.031289 0.997340
0.031388 0.997340
0.031487 0.997340
0.031587 0.997340
0.031686 0.997340
0.031785 0.997340
0.031884 0.997340
0.031984 0.997340
0.032083 0.997340
0.032182 0.997340
0.032282 0.997340
0.032381 0.997340
0.032480 0.997340
0.032579 0.997340
0.032679 0.997340
0.032778 0.997340
0.032877 0.997340
0.032977 0.997340
0.033076 0.997340
0.033175 0.997340
0.033274 0.997340
0.033374 0.997340
0.033473 0.997340
0.033572 0.997340
0.033672 0.997340
0.033771 0.997340
0.033870 0.997340
0.033969 0.997340
0.034069 0.997340
0.034168 0.997340
0.034267 0.997340
0.034367 0.997340
0.034466 0.997340
0.034565 0.997340
0.034664 0.997340
0.034764 0.997340
0.034863 0.997340
0.034962 0.997340
0.035062 0.997340
0.035161 0.997340
0.035260 0.997340
0.035360 0.997340
0.035459 0.997340
0.035558 0.997340
0.035657 0.997340
0.035757 0.997340
0.035856 0.997340
0.035955 0.997340
0.036055 0.997340
0.036154 0.997340
0.036253 0.997340
0.036352 0.997340
0.036452 0.997340
0.036551 0.997340
0.036650 0.997340
0.036750 0.997340
0.036849 0.997340
0.036948 0.997340
0.037047 0.997340
0.037147 0.997340
0.037246 0.997340
0.037345 0.997340
0.037445 0.997340
0.037544 0.997340
0.037643 0.997340
0.037742 0.997340
0.037842 0.997340
0.037941 0.997340
0.038040 0.997340
0.038140 0.997340
0.038239 0.997340
0.038338 0.997340
0.038438 0.997340
0.038537 0.997340
0.038636 0.997340
0.038735 0.997340
0.038835 0.997340
0.038934 0.997340
0.039033 0.997340
0.039133 0.997340
0.039232 0.997340
0.039331 0.997340
0.039430 0.997340
0.039530 0.997340
0.039629 0.997340
0.039728 0.997340
0.039828 0.997340
0.039927 0.997340
0.040026 0.997340
0.040125 0.997340
0.040225 0.997340
0.040324 0.997340
0.040423 0.997340
0.040523 0.997340
0.040622 0.997340
0.040721 0.997340
0.040820 0.997340
0.040920 0.997340
0.041019 0.997340
0.041118 0.997340
0.041218 0.997340
0.041317 0.997340
0.041416 0.997340
0.041516 0.997045
0.041615 0.997045
0.041714 0.997045
0.041813 0.997045
0.041913 0.997045
0.042012 0.997045
0.042111 0.997045
0.042211 0.997045
0.042310 0.997045
0.042409 0.996749
0.042508 0.996749
0.042608 0.996749
0.042707 0.996749
0.042806 0.996749
0.042906 0.996749
0.043005 0.996749
0.043104 0.996749
0.043203 0.996749
0.043303 0.996749
0.043402 0.996749
0.043501 0.996749
0.043601 0.996749
0.043700 0.996749
0.043799 0.996749
0.043898 0.996749
0.043998 0.996454
0.044097 0.996454
0.044196 0.996454
0.044296 0.996454
0.044395 0.996454
0.044494 0.996454
0.044594 0.996454
0.044693 0.996454
0.044792 0.996454
0.044891 0.996454
0.044991 0.996454
0.045090 0.996454
0.045189 0.996454
0.045289 0.996454
0.045388 0.996454
0.045487 0.996454
0.045586 0.996454
