# Threshold Efficiency
0.006840 0.997222
0.006937 0.997222
0.007034 0.997222
0.007132 0.997222
0.007229 0.994444
0.007326 0.994444
0.007423 0.994444
0.007520 0.994444
0.007617 0.994444
0.007714 0.994444
0.007811 0.991667
0.007909 0.991667
0.008006 0.991667
0.008103 0.991667
0.008200 0.991667
0.008297 0.991667
0.008394 0.991667
0.008491 0.991667
0.008589 0.991667
0.008686 0.991667
0.008783 0.991667
0.008880 0.991667
0.008977 0.991667
0.009074 0.991667
0.009171 0.991667
0.009268 0.991667
0.009366 0.991667
0.009463 0.991667
0.009560 0.991667
0.009657 0.991667
0.009754 0.991667
0.009851 0.991667
0.009948 0.991667
0.010046 0.991667
0.010143 0.991667
0.010240 0.991667
0.010337 0.991667
0.010434 0.991667
0.010531 0.991667
0.010628 0.991667
0.010726 0.991667
0.010823 0.991667
0.010920 0.991667
0.011017 0.991667
0.011114 0.991667
0.011211 0.991667
0.011308 0.991667
0.011405 0.991667
0.011503 0.991667
0.011600 0.991667
0.011697 0.991667
0.011794 0.991667
0.011891 0.991667
0.011988 0.991667
0.012085 0.991667
0.012183 0.988889
0.012280 0.988889
0.012377 0.988889
0.012474 0.988889
0.012571 0.988889
0.012668 0.988889
0.012765 0.986111
0.012862 0.986111
0.012960 0.986111
0.013057 0.986111
0.013154 0.986111
0.013251 0.986111
0.013348 0.986111
0.013445 0.986111
0.013542 0.986111
0.013640 0.986111
0.013737 0.986111
0.013834 0.986111
0.013931 0.986111
0.014028 0.986111
0.014125 0.986111
0.014222 0.986111
0.014319 0.983333
0.014417 0.983333
0.014514 0.983333
0.014611 0.983333
0.014708 0.983333
0.014805 0.983333
0.014902 0.983333
0.014999 0.983333
0.015097 0.983333
0.015194 0.983333
0.015291 0.983333
0.015388 0.980556
0.015485 0.980556
0.015582 0.980556
0.015679 0.977778
0.015776 0.977778
0.015874 0.977778
0.015971 0.977778
0.016068 0.977778
0.016165 0.977778
0.016262 0.977778
0.016359 0.977778
0.016456 0.977778
0.016554 0.977778
0.016651 0.977778
0.016748 0.977778
0.016845 0.977778
0.016942 0.977778
0.017039 0.975000
0.017136 0.975000
0.017234 0.972222
0.017331 0.972222
0.017428 0.972222
0.017525 0.972222
0.017622 0.972222
0.017719 0.969444
0.017816 0.969444
0.017913 0.969444
0.018011 0.969444
0.018108 0.969444
0.018205 0.969444
0.018302 0.969444
0.018399 0.969444
0.018496 0.969444
0.018593 0.969444
0.018691 0.969444
0.018788 0.969444
0.018885 0.966667
0.018982 0.966667
0.019079 0.966667
0.019176 0.966667
0.019273 0.963889
0.019370 0.963889
0.019468 0.961111
0.019565 0.961111
0.019662 0.961111
0.019759 0.961111
0.019856 0.961111
0.019953 0.961111
0.020050 0.961111
0.020148 0.961111
0.020245 0.961111
0.020342 0.961111
0.020439 0.961111
0.020536 0.961111
0.020633 0.961111
0.020730 0.961111
0.020827 0.961111
0.020925 0.961111
0.021022 0.961111
0.021119 0.961111
0.021216 0.958333
0.021313 0.958333
0.021410 0.958333
