# Threshold Efficiency
0.015640 0.997222
0.015736 0.997222
0.015832 0.997222
0.015928 0.997222
0.016024 0.997222
0.016120 0.997222
0.016217 0.997222
0.016313 0.997222
0.016409 0.997222
0.016505 0.997222
0.016601 0.997222
0.016697 0.997222
0.016793 0.997222
0.016890 0.997222
0.016986 0.997222
0.017082 0.997222
0.017178 0.997222
0.017274 0.997222
0.017370 0.997222
0.017466 0.997222
0.017563 0.997222
0.017659 0.997222
0.017755 0.997222
0.017851 0.997222
0.017947 0.997222
0.018043 0.997222
0.018139 0.997222
0.018235 0.997222
0.018332 0.997222
0.018428 0.997222
0.018524 0.997222
0.018620 0.997222
0.018716 0.997222
0.018812 0.997222
0.018908 0.997222
0.019005 0.997222
0.019101 0.997222
0.019197 0.997222
0.019293 0.997222
0.019389 0.997222
0.019485 0.997222
0.019581 0.997222
0.019678 0.997222
0.019774 0.997222
0.019870 0.997222
0.019966 0.997222
0.020062 0.997222
0.020158 0.997222
0.020254 0.997222
0.020351 0.997222
0.020447 0.997222
0.020543 0.997222
0.020639 0.997222
0.020735 0.997222
0.020831 0.997222
0.020927 0.997222
0.021023 0.997222
0.021120 0.997222
0.021216 0.997222
0.021312 0.997222
0.021408 0.997222
0.021504 0.997222
0.021600 0.997222
0.021696 0.997222
0.021793 0.997222
0.021889 0.997222
0.021985 0.997222
0.022081 0.997222
0.022177 0.997222
0.022273 0.997222
0.022369 0.997222
0.022466 0.997222
0.022562 0.997222
0.022658 0.994444
0.022754 0.994444
0.022850 0.994444
0.022946 0.994444
0.023042 0.994444
0.023139 0.994444
0.023235 0.994444
0.023331 0.994444
0.023427 0.994444
0.023523 0.994444
0.023619 0.991667
0.023715 0.991667
0.023811 0.991667
0.023908 0.991667
0.024004 0.991667
0.024100 0.991667
0.024196 0.991667
0.024292 0.991667
0.024388 0.991667
0.024484 0.991667
0.024581 0.991667
0.024677 0.991667
0.024773 0.991667
0.024869 0.991667
0.024965 0.991667
0.025061 0.991667
0.025157 0.991667
0.025254 0.991667
0.025350 0.991667
0.025446 0.991667
0.025542 0.991667
0.025638 0.991667
0.025734 0.991667
0.025830 0.991667
0.025927 0.991667
0.026023 0.991667
0.026119 0.991667
0.026215 0.991667
0.026311 0.991667
0.026407 0.991667
0.026503 0.991667
0.026599 0.991667
0.026696 0.988889
0.026792 0.988889
0.026888 0.988889
0.026984 0.988889
0.027080 0.988889
0.027176 0.988889
0.027272 0.988889
0.027369 0.988889
0.027465 0.988889
0.027561 0.988889
0.027657 0.988889
0.027753 0.988889
0.027849 0.988889
0.027945 0.988889
0.028042 0.988889
0.028138 0.988889
0.028234 0.988889
0.028330 0.988889
0.028426 0.988889
