# Threshold Efficiency
0.015640 1.000000
0.015736 1.000000
0.015832 1.000000
0.015928 1.000000
0.016024 1.000000
0.016120 1.000000
0.016217 1.000000
0.016313 1.000000
0.016409 1.000000
0.016505 1.000000
0.016601 1.000000
0.016697 1.000000
0.016793 1.000000
0.016890 1.000000
0.016986 1.000000
0.017082 1.000000
0.017178 1.000000
0.017274 1.000000
0.017370 1.000000
0.017466 1.000000
0.017563 1.000000
0.017659 1.000000
0.017755 1.000000
0.017851 1.000000
0.017947 1.000000
0.018043 1.000000
0.018139 1.000000
0.018235 1.000000
0.018332 1.000000
0.018428 1.000000
0.018524 1.000000
0.018620 1.000000
0.018716 1.000000
0.018812 1.000000
0.018908 1.000000
0.019005 1.000000
0.019101 1.000000
0.019197 1.000000
0.019293 1.000000
0.019389 1.000000
0.019485 1.000000
0.019581 1.000000
0.019678 1.000000
0.019774 1.000000
0.019870 1.000000
0.019966 1.000000
0.020062 1.000000
0.020158 1.000000
0.020254 1.000000
0.020351 1.000000
0.020447 1.000000
0.020543 1.000000
0.020639 1.000000
0.020735 1.000000
0.020831 1.000000
0.020927 1.000000
0.021023 1.000000
0.021120 1.000000
0.021216 1.000000
0.021312 1.000000
0.021408 1.000000
0.021504 1.000000
0.021600 1.000000
0.021696 1.000000
0.021793 1.000000
0.021889 1.000000
0.021985 1.000000
0.022081 1.000000
0.022177 1.000000
0.022273 1.000000
0.022369 1.000000
0.022466 1.000000
0.022562 1.000000
0.022658 1.000000
0.022754 1.000000
0.022850 1.000000
0.022946 1.000000
0.023042 1.000000
0.023139 1.000000
0.023235 1.000000
0.023331 1.000000
0.023427 1.000000
0.023523 1.000000
0.023619 1.000000
0.023715 1.000000
0.023811 1.000000
0.023908 1.000000
0.024004 1.000000
0.024100 1.000000
0.024196 1.000000
0.024292 1.000000
0.024388 1.000000
0.024484 1.000000
0.024581 1.000000
0.024677 1.000000
0.024773 1.000000
0.024869 1.000000
0.024965 1.000000
0.025061 1.000000
0.025157 1.000000
0.025254 1.000000
0.025350 1.000000
0.025446 1.000000
0.025542 1.000000
0.025638 1.000000
0.025734 1.000000
0.025830 1.000000
0.025927 1.000000
0.026023 1.000000
0.026119 1.000000
0.026215 1.000000
0.026311 1.000000
0.026407 1.000000
0.026503 1.000000
0.026599 1.000000
0.026696 1.000000
0.026792 1.000000
0.026888 1.000000
0.026984 1.000000
0.027080 1.000000
0.027176 1.000000
0.027272 1.000000
0.027369 1.000000
0.027465 1.000000
0.027561 1.000000
0.027657 1.000000
0.027753 1.000000
0.027849 1.000000
0.027945 1.000000
0.028042 1.000000
0.028138 1.000000
0.028234 1.000000
0.028330 1.000000
0.028426 1.000000
0.028522 1.000000
0.028618 1.000000
0.028715 1.000000
0.028811 1.000000
0.028907 1.000000
0.029003 1.000000
0.029099 1.000000
0.029195 1.000000
0.029291 1.000000
0.029387 1.000000
0.029484 1.000000
0.029580 1.000000
0.029676 1.000000
0.029772 1.000000
0.029868 1.000000
0.029964 1.000000
0.030060 1.000000
0.030157 1.000000
0.030253 1.000000
0.030349 1.000000
0.030445 1.000000
0.030541 1.000000
0.030637 1.000000
0.030733 1.000000
0.030830 1.000000
0.030926 1.000000
0.031022 1.000000
0.031118 1.000000
0.031214 1.000000
0.031310 1.000000
0.031406 1.000000
0.031503 1.000000
0.031599 1.000000
0.031695 1.000000
0.031791 1.000000
0.031887 1.000000
0.031983 1.000000
0.032079 1.000000
0.032175 1.000000
0.032272 1.000000
0.032368 1.000000
0.032464 1.000000
0.032560 1.000000
0.032656 1.000000
0.032752 1.000000
0.032848 1.000000
0.032945 1.000000
0.033041 1.000000
0.033137 1.000000
0.033233 1.000000
0.033329 1.000000
