# Threshold Efficiency
0.002616 0.999753
0.002713 0.999753
0.002809 0.999753
0.002905 0.999507
0.003002 0.999507
0.003098 0.999507
0.003194 0.999507
0.003290 0.999507
0.003387 0.998767
0.003483 0.998767
0.003579 0.998767
0.003676 0.998520
0.003772 0.998520
0.003868 0.998520
0.003964 0.998274
0.004061 0.998027
0.004157 0.997781
0.004253 0.997781
0.004350 0.997781
0.004446 0.997781
0.004542 0.997781
0.004638 0.997781
0.004735 0.997781
0.004831 0.997287
0.004927 0.996794
0.005023 0.996794
0.005120 0.996547
0.005216 0.996547
0.005312 0.996547
0.005409 0.996547
0.005505 0.996547
0.005601 0.996547
0.005697 0.996301
0.005794 0.996301
0.005890 0.996054
0.005986 0.996054
0.006083 0.996054
0.006179 0.996054
0.006275 0.995808
0.006371 0.995808
0.006468 0.995808
0.006564 0.995561
0.006660 0.995314
0.006756 0.995068
0.006853 0.995068
0.006949 0.995068
0.007045 0.995068
0.007142 0.994821
0.007238 0.994821
0.007334 0.994821
0.007430 0.994821
0.007527 0.994575
0.007623 0.994328
0.007719 0.994081
0.007816 0.993835
0.007912 0.993588
0.008008 0.993095
0.008104 0.992848
0.008201 0.992848
0.008297 0.992848
0.008393 0.992602
0.008490 0.992355
0.008586 0.992355
0.008682 0.992355
0.008778 0.992355
0.008875 0.991862
0.008971 0.991862
0.009067 0.991615
0.009163 0.991122
0.009260 0.990629
0.009356 0.990629
0.009452 0.990629
0.009549 0.990629
0.009645 0.990136
0.009741 0.989889
0.009837 0.989889
0.009934 0.989889
0.010030 0.989889
0.010126 0.989889
0.010223 0.989642
0.010319 0.989642
0.010415 0.989642
0.010511 0.989642
0.010608 0.989396
0.010704 0.989396
0.010800 0.989396
0.010897 0.989396
0.010993 0.989396
0.011089 0.989396
0.011185 0.989396
0.011282 0.989396
0.011378 0.989396
0.011474 0.989396
0.011570 0.989149
0.011667 0.989149
0.011763 0.989149
0.011859 0.988903
0.011956 0.988656
0.012052 0.988656
0.012148 0.988656
0.012244 0.988656
0.012341 0.988656
0.012437 0.988656
0.012533 0.988409
0.012630 0.988409
0.012726 0.988163
0.012822 0.987916
0.012918 0.987916
0.013015 0.987670
0.013111 0.987423
0.013207 0.987423
0.013304 0.987176
0.013400 0.987176
0.013496 0.987176
0.013592 0.987176
0.013689 0.986930
0.013785 0.986683
0.013881 0.986683
0.013977 0.986436
0.014074 0.986436
0.014170 0.986436
0.014266 0.986436
0.014363 0.986436
0.014459 0.986436
0.014555 0.986436
0.014651 0.986190
0.014748 0.986190
0.014844 0.986190
0.014940 0.986190
0.015037 0.985943
0.015133 0.985697
0.015229 0.985697
0.015325 0.985697
0.015422 0.985697
0.015518 0.985450
0.015614 0.984957
0.015711 0.984957
