# Threshold Efficiency
0.002616 1.000000
0.002713 1.000000
0.002809 1.000000
0.002905 1.000000
0.003002 1.000000
0.003098 1.000000
0.003194 1.000000
0.003290 1.000000
0.003387 1.000000
0.003483 1.000000
0.003579 1.000000
0.003676 1.000000
0.003772 1.000000
0.003868 1.000000
0.003964 1.000000
0.004061 1.000000
0.004157 1.000000
0.004253 1.000000
0.004350 1.000000
0.004446 1.000000
0.004542 1.000000
0.004638 1.000000
0.004735 1.000000
0.004831 1.000000
0.004927 1.000000
0.005023 1.000000
0.005120 1.000000
0.005216 1.000000
0.005312 1.000000
0.005409 1.000000
0.005505 1.000000
0.005601 1.000000
0.005697 1.000000
0.005794 1.000000
0.005890 1.000000
0.005986 1.000000
0.006083 1.000000
0.006179 1.000000
0.006275 1.000000
0.006371 1.000000
0.006468 1.000000
0.006564 1.000000
0.006660 1.000000
0.006756 1.000000
0.006853 1.000000
0.006949 1.000000
0.007045 1.000000
0.007142 1.000000
0.007238 1.000000
0.007334 1.000000
0.007430 1.000000
0.007527 1.000000
0.007623 1.000000
0.007719 1.000000
0.007816 1.000000
0.007912 1.000000
0.008008 1.000000
0.008104 1.000000
0.008201 1.000000
0.008297 1.000000
0.008393 1.000000
0.008490 1.000000
0.008586 1.000000
0.008682 1.000000
0.008778 1.000000
0.008875 1.000000
0.008971 1.000000
0.009067 1.000000
0.009163 1.000000
0.009260 1.000000
0.009356 1.000000
0.009452 1.000000
0.009549 1.000000
0.009645 1.000000
0.009741 1.000000
0.009837 1.000000
0.009934 1.000000
0.010030 1.000000
0.010126 1.000000
0.010223 1.000000
0.010319 1.000000
0.010415 1.000000
0.010511 1.000000
0.010608 1.000000
0.010704 1.000000
0.010800 1.000000
0.010897 1.000000
0.010993 1.000000
0.011089 1.000000
0.011185 1.000000
0.011282 1.000000
0.011378 1.000000
0.011474 1.000000
0.011570 1.000000
0.011667 1.000000
0.011763 1.000000
0.011859 1.000000
0.011956 1.000000
0.012052 1.000000
0.012148 1.000000
0.012244 1.000000
0.012341 1.000000
0.012437 1.000000
0.012533 1.000000
0.012630 1.000000
0.012726 1.000000
0.012822 1.000000
0.012918 1.000000
0.013015 1.000000
0.013111 1.000000
0.013207 1.000000
0.013304 1.000000
0.013400 0.999755
0.013496 0.999755
0.013592 0.999755
0.013689 0.999755
0.013785 0.999755
0.013881 0.999755
0.013977 0.999755
0.014074 0.999755
0.014170 0.999755
0.014266 0.999755
0.014363 0.999755
0.014459 0.999755
0.014555 0.999755
0.014651 0.999755
0.014748 0.999755
0.014844 0.999755
0.014940 0.999511
0.015037 0.999511
0.015133 0.999511
0.015229 0.999511
0.015325 0.999511
0.015422 0.999511
0.015518 0.999511
0.015614 0.999511
0.015711 0.999511
0.015807 0.999511
0.015903 0.999511
0.015999 0.999511
0.016096 0.999511
0.016192 0.999511
0.016288 0.999511
0.016384 0.999511
0.016481 0.999511
0.016577 0.999511
0.016673 0.999511
0.016770 0.999511
0.016866 0.999511
