# Threshold Efficiency
0.009364 0.999697
0.009462 0.999697
0.009559 0.999697
0.009656 0.999697
0.009754 0.999697
0.009851 0.999697
0.009949 0.999697
0.010046 0.999697
0.010144 0.999697
0.010241 0.999697
0.010339 0.999697
0.010436 0.999697
0.010534 0.999697
0.010631 0.999697
0.010728 0.999697
0.010826 0.999697
0.010923 0.999697
0.011021 0.999697
0.011118 0.999697
0.011216 0.999697
0.011313 0.999394
0.011411 0.999394
0.011508 0.999394
0.011605 0.999394
0.011703 0.999394
0.011800 0.999394
0.011898 0.999394
0.011995 0.999394
0.012093 0.999394
0.012190 0.999394
0.012288 0.999394
0.012385 0.999394
0.012483 0.999394
0.012580 0.999394
0.012677 0.999394
0.012775 0.999394
0.012872 0.999394
0.012970 0.999394
0.013067 0.999394
0.013165 0.999394
0.013262 0.999394
0.013360 0.999394
0.013457 0.999394
0.013555 0.999394
0.013652 0.999394
0.013749 0.999394
0.013847 0.999394
0.013944 0.999394
0.014042 0.999394
0.014139 0.999394
0.014237 0.999394
0.014334 0.999394
0.014432 0.999394
0.014529 0.999394
0.014627 0.999394
0.014724 0.999394
0.014821 0.999090
0.014919 0.999090
0.015016 0.999090
0.015114 0.999090
0.015211 0.999090
0.015309 0.999090
0.015406 0.998787
0.015504 0.998787
0.015601 0.998787
0.015699 0.998484
0.015796 0.998484
0.015893 0.998484
0.015991 0.998484
0.016088 0.998484
0.016186 0.998484
0.016283 0.998484
0.016381 0.998484
0.016478 0.998484
0.016576 0.998484
0.016673 0.998181
0.016771 0.998181
0.016868 0.998181
0.016965 0.998181
0.017063 0.998181
0.017160 0.998181
0.017258 0.998181
0.017355 0.998181
0.017453 0.998181
0.017550 0.998181
0.017648 0.998181
0.017745 0.998181
0.017842 0.998181
0.017940 0.998181
0.018037 0.998181
0.018135 0.998181
0.018232 0.998181
0.018330 0.998181
0.018427 0.998181
0.018525 0.998181
0.018622 0.998181
0.018720 0.998181
0.018817 0.998181
0.018914 0.998181
0.019012 0.998181
0.019109 0.998181
0.019207 0.998181
0.019304 0.998181
0.019402 0.998181
0.019499 0.998181
0.019597 0.998181
0.019694 0.998181
0.019792 0.998181
0.019889 0.998181
0.019986 0.998181
0.020084 0.998181
0.020181 0.998181
0.020279 0.998181
0.020376 0.998181
0.020474 0.998181
0.020571 0.998181
0.020669 0.998181
0.020766 0.998181
0.020864 0.998181
0.020961 0.998181
0.021058 0.998181
0.021156 0.998181
0.021253 0.998181
0.021351 0.998181
0.021448 0.997878
0.021546 0.997878
0.021643 0.997878
0.021741 0.997878
0.021838 0.997878
0.021936 0.997878
0.022033 0.997878
0.022130 0.997878
0.022228 0.997878
0.022325 0.997878
0.022423 0.997878
0.022520 0.997878
