# Threshold Efficiency
0.021985 0.992647
0.022077 0.992647
0.022168 0.992647
0.022260 0.992647
0.022351 0.992647
0.022443 0.992647
0.022535 0.985294
0.022626 0.985294
0.022718 0.985294
0.022809 0.985294
0.022901 0.985294
0.022993 0.985294
0.023084 0.985294
0.023176 0.985294
0.023267 0.985294
0.023359 0.985294
0.023450 0.977941
0.023542 0.977941
0.023634 0.977941
0.023725 0.970588
0.023817 0.970588
0.023908 0.970588
0.024000 0.970588
0.024092 0.970588
0.024183 0.970588
0.024275 0.970588
0.024366 0.963235
0.024458 0.963235
0.024550 0.963235
0.024641 0.963235
0.024733 0.963235
0.024824 0.963235
0.024916 0.963235
0.025007 0.963235
0.025099 0.963235
0.025191 0.963235
0.025282 0.963235
0.025374 0.963235
0.025465 0.963235
0.025557 0.963235
0.025649 0.963235
0.025740 0.963235
0.025832 0.963235
0.025923 0.963235
0.026015 0.963235
0.026106 0.963235
0.026198 0.963235
0.026290 0.963235
0.026381 0.963235
0.026473 0.963235
0.026564 0.963235
0.026656 0.963235
0.026748 0.963235
0.026839 0.963235
0.026931 0.963235
0.027022 0.963235
0.027114 0.963235
0.027205 0.963235
0.027297 0.963235
0.027389 0.963235
0.027480 0.963235
0.027572 0.963235
0.027663 0.963235
0.027755 0.963235
0.027847 0.963235
0.027938 0.963235
0.028030 0.963235
0.028121 0.963235
0.028213 0.963235
0.028304 0.963235
0.028396 0.963235
0.028488 0.963235
0.028579 0.963235
0.028671 0.963235
0.028762 0.963235
0.028854 0.963235
0.028946 0.963235
0.029037 0.963235
0.029129 0.963235
0.029220 0.963235
0.029312 0.963235
0.029403 0.963235
0.029495 0.963235
0.029587 0.963235
0.029678 0.963235
0.029770 0.963235
0.029861 0.963235
0.029953 0.963235
0.030045 0.963235
0.030136 0.963235
0.030228 0.963235
0.030319 0.963235
0.030411 0.963235
0.030502 0.963235
0.030594 0.963235
0.030686 0.963235
0.030777 0.963235
0.030869 0.963235
0.030960 0.963235
0.031052 0.963235
0.031144 0.963235
0.031235 0.963235
0.031327 0.963235
0.031418 0.963235
0.031510 0.963235
0.031601 0.963235
0.031693 0.955882
0.031785 0.955882
0.031876 0.955882
0.031968 0.955882
0.032059 0.955882
0.032151 0.955882
0.032243 0.955882
0.032334 0.955882
0.032426 0.955882
0.032517 0.955882
0.032609 0.955882
0.032700 0.955882
0.032792 0.955882
0.032884 0.955882
0.032975 0.955882
0.033067 0.955882
0.033158 0.955882
0.033250 0.955882
0.033342 0.955882
0.033433 0.955882
0.033525 0.955882
0.033616 0.955882
0.033708 0.955882
0.033799 0.955882
0.033891 0.955882
0.033983 0.955882
0.034074 0.955882
0.034166 0.955882
0.034257 0.955882
0.034349 0.955882
0.034441 0.955882
0.034532 0.955882
0.034624 0.955882
0.034715 0.955882
0.034807 0.955882
0.034898 0.955882
0.034990 0.955882
0.035082 0.955882
0.035173 0.955882
0.035265 0.955882
0.035356 0.955882
0.035448 0.948529
0.035540 0.948529
0.035631 0.948529
0.035723 0.948529
0.035814 0.948529
0.035906 0.948529
0.035998 0.948529
0.036089 0.948529
0.036181 0.948529
0.036272 0.941176
0.036364 0.941176
0.036455 0.941176
0.036547 0.941176
0.036639 0.941176
0.036730 0.941176
0.036822 0.941176
0.036913 0.941176
0.037005 0.933824
0.037097 0.933824
0.037188 0.933824
0.037280 0.933824
0.037371 0.933824
0.037463 0.933824
0.037554 0.933824
0.037646 0.933824
0.037738 0.933824
0.037829 0.933824
0.037921 0.933824
0.038012 0.933824
0.038104 0.933824
0.038196 0.933824
0.038287 0.933824
0.038379 0.926471
0.038470 0.926471
