# Threshold Efficiency
0.021985 1.000000
0.022077 1.000000
0.022168 1.000000
0.022260 1.000000
0.022351 1.000000
0.022443 1.000000
0.022535 1.000000
0.022626 1.000000
0.022718 1.000000
0.022809 1.000000
0.022901 1.000000
0.022993 1.000000
0.023084 1.000000
0.023176 1.000000
0.023267 1.000000
0.023359 1.000000
0.023450 1.000000
0.023542 1.000000
0.023634 1.000000
0.023725 1.000000
0.023817 1.000000
0.023908 1.000000
0.024000 1.000000
0.024092 1.000000
0.024183 1.000000
0.024275 1.000000
0.024366 1.000000
0.024458 1.000000
0.024550 1.000000
0.024641 1.000000
0.024733 1.000000
0.024824 1.000000
0.024916 1.000000
0.025007 1.000000
0.025099 1.000000
0.025191 1.000000
0.025282 1.000000
0.025374 1.000000
0.025465 1.000000
0.025557 1.000000
0.025649 1.000000
0.025740 1.000000
0.025832 1.000000
0.025923 1.000000
0.026015 1.000000
0.026106 1.000000
0.026198 1.000000
0.026290 1.000000
0.026381 1.000000
0.026473 1.000000
0.026564 1.000000
0.026656 1.000000
0.026748 1.000000
0.026839 1.000000
0.026931 1.000000
0.027022 1.000000
0.027114 1.000000
0.027205 1.000000
0.027297 1.000000
0.027389 1.000000
0.027480 1.000000
0.027572 1.000000
0.027663 1.000000
0.027755 1.000000
0.027847 1.000000
0.027938 1.000000
0.028030 1.000000
0.028121 1.000000
0.028213 1.000000
0.028304 1.000000
0.028396 1.000000
0.028488 1.000000
0.028579 1.000000
0.028671 1.000000
0.028762 1.000000
0.028854 1.000000
0.028946 1.000000
0.029037 1.000000
0.029129 1.000000
0.029220 1.000000
0.029312 1.000000
0.029403 1.000000
0.029495 1.000000
0.029587 1.000000
0.029678 1.000000
0.029770 1.000000
0.029861 1.000000
0.029953 1.000000
0.030045 1.000000
0.030136 1.000000
0.030228 1.000000
0.030319 1.000000
0.030411 1.000000
0.030502 1.000000
0.030594 1.000000
0.030686 1.000000
0.030777 1.000000
0.030869 1.000000
0.030960 1.000000
0.031052 1.000000
0.031144 1.000000
0.031235 1.000000
0.031327 1.000000
0.031418 1.000000
0.031510 1.000000
0.031601 1.000000
0.031693 1.000000
0.031785 1.000000
0.031876 1.000000
0.031968 1.000000
0.032059 1.000000
0.032151 1.000000
0.032243 1.000000
0.032334 1.000000
0.032426 1.000000
0.032517 1.000000
0.032609 1.000000
0.032700 1.000000
0.032792 1.000000
0.032884 1.000000
0.032975 1.000000
0.033067 1.000000
0.033158 1.000000
0.033250 1.000000
0.033342 1.000000
0.033433 1.000000
0.033525 1.000000
0.033616 1.000000
0.033708 1.000000
0.033799 1.000000
0.033891 1.000000
0.033983 1.000000
0.034074 1.000000
0.034166 1.000000
0.034257 1.000000
0.034349 1.000000
0.034441 1.000000
0.034532 1.000000
0.034624 1.000000
0.034715 1.000000
0.034807 1.000000
0.034898 1.000000
0.034990 1.000000
0.035082 1.000000
0.035173 1.000000
0.035265 1.000000
0.035356 1.000000
0.035448 1.000000
0.035540 1.000000
0.035631 1.000000
0.035723 1.000000
0.035814 1.000000
0.035906 1.000000
0.035998 1.000000
0.036089 1.000000
0.036181 1.000000
0.036272 1.000000
0.036364 1.000000
0.036455 1.000000
0.036547 1.000000
0.036639 1.000000
0.036730 1.000000
0.036822 1.000000
0.036913 1.000000
0.037005 1.000000
0.037097 1.000000
0.037188 1.000000
0.037280 1.000000
0.037371 1.000000
0.037463 1.000000
0.037554 1.000000
0.037646 1.000000
0.037738 1.000000
0.037829 1.000000
0.037921 1.000000
0.038012 1.000000
0.038104 1.000000
0.038196 1.000000
0.038287 1.000000
0.038379 1.000000
0.038470 1.000000
0.038562 1.000000
0.038653 1.000000
0.038745 1.000000
0.038837 1.000000
0.038928 1.000000
0.039020 1.000000
0.039111 1.000000
0.039203 1.000000
0.039295 1.000000
0.039386 1.000000
0.039478 1.000000
0.039569 1.000000
0.039661 1.000000
0.039752 1.000000
0.039844 1.000000
0.039936 1.000000
0.040027 1.000000
0.040119 1.000000
0.040210 1.000000
0.040302 1.000000
0.040394 1.000000
0.040485 1.000000
0.040577 1.000000
0.040668 1.000000
0.040760 1.000000
0.040851 1.000000
0.040943 1.000000
0.041035 1.000000
0.041126 1.000000
0.041218 1.000000
0.041309 1.000000
0.041401 1.000000
0.041493 1.000000
0.041584 1.000000
0.041676 1.000000
0.041767 1.000000
0.041859 1.000000
0.041950 1.000000
0.042042 1.000000
0.042134 1.000000
0.042225 1.000000
0.042317 1.000000
0.042408 1.000000
0.042500 1.000000
0.042592 1.000000
0.042683 1.000000
0.042775 1.000000
0.042866 1.000000
0.042958 1.000000
0.043049 1.000000
0.043141 1.000000
0.043233 1.000000
0.043324 1.000000
0.043416 1.000000
0.043507 1.000000
0.043599 1.000000
0.043691 1.000000
0.043782 1.000000
0.043874 1.000000
0.043965 1.000000
0.044057 1.000000
0.044148 1.000000
0.044240 1.000000
0.044332 1.000000
0.044423 1.000000
0.044515 1.000000
0.044606 1.000000
0.044698 1.000000
0.044790 1.000000
0.044881 1.000000
0.044973 1.000000
0.045064 1.000000
0.045156 1.000000
0.045247 1.000000
0.045339 1.000000
0.045431 1.000000
0.045522 1.000000
0.045614 1.000000
0.045705 1.000000
0.045797 1.000000
0.045889 1.000000
0.045980 1.000000
0.046072 1.000000
0.046163 1.000000
0.046255 1.000000
0.046347 1.000000
0.046438 1.000000
0.046530 1.000000
0.046621 1.000000
0.046713 1.000000
0.046804 1.000000
0.046896 1.000000
0.046988 1.000000
0.047079 1.000000
0.047171 1.000000
0.047262 1.000000
0.047354 1.000000
0.047446 1.000000
0.047537 1.000000
0.047629 1.000000
0.047720 1.000000
0.047812 1.000000
0.047903 1.000000
0.047995 1.000000
0.048087 1.000000
0.048178 1.000000
0.048270 1.000000
0.048361 1.000000
0.048453 1.000000
0.048545 1.000000
0.048636 1.000000
0.048728 1.000000
0.048819 1.000000
0.048911 1.000000
0.049002 1.000000
0.049094 1.000000
0.049186 1.000000
0.049277 1.000000
0.049369 1.000000
0.049460 1.000000
0.049552 1.000000
0.049644 1.000000
0.049735 1.000000
0.049827 1.000000
0.049918 1.000000
0.050010 1.000000
0.050101 1.000000
0.050193 1.000000
0.050285 1.000000
0.050376 1.000000
0.050468 1.000000
0.050559 1.000000
0.050651 1.000000
0.050743 1.000000
0.050834 1.000000
0.050926 1.000000
0.051017 1.000000
0.051109 1.000000
0.051200 1.000000
0.051292 1.000000
0.051384 1.000000
0.051475 1.000000
0.051567 1.000000
0.051658 1.000000
0.051750 1.000000
0.051842 1.000000
0.051933 1.000000
0.052025 1.000000
0.052116 1.000000
0.052208 1.000000
0.052299 1.000000
0.052391 1.000000
0.052483 1.000000
0.052574 1.000000
0.052666 1.000000
0.052757 1.000000
0.052849 1.000000
0.052941 1.000000
0.053032 1.000000
0.053124 1.000000
0.053215 1.000000
0.053307 1.000000
0.053398 1.000000
0.053490 1.000000
0.053582 1.000000
0.053673 1.000000
0.053765 1.000000
0.053856 1.000000
0.053948 1.000000
0.054040 1.000000
0.054131 1.000000
0.054223 1.000000
0.054314 1.000000
0.054406 1.000000
0.054497 1.000000
0.054589 1.000000
0.054681 1.000000
0.054772 1.000000
0.054864 1.000000
0.054955 1.000000
0.055047 1.000000
0.055139 1.000000
0.055230 1.000000
0.055322 1.000000
0.055413 1.000000
0.055505 1.000000
0.055596 1.000000
0.055688 1.000000
0.055780 1.000000
0.055871 1.000000
0.055963 1.000000
0.056054 1.000000
0.056146 1.000000
0.056238 1.000000
0.056329 1.000000
0.056421 1.000000
0.056512 1.000000
0.056604 1.000000
0.056695 1.000000
0.056787 1.000000
0.056879 1.000000
0.056970 1.000000
0.057062 1.000000
0.057153 1.000000
0.057245 1.000000
0.057337 1.000000
0.057428 1.000000
0.057520 1.000000
0.057611 1.000000
0.057703 1.000000
0.057795 1.000000
0.057886 1.000000
0.057978 1.000000
0.058069 1.000000
0.058161 1.000000
0.058252 1.000000
0.058344 1.000000
0.058436 1.000000
0.058527 1.000000
0.058619 1.000000
0.058710 1.000000
0.058802 1.000000
0.058894 1.000000
0.058985 1.000000
0.059077 1.000000
0.059168 1.000000
0.059260 1.000000
0.059351 1.000000
0.059443 1.000000
0.059535 1.000000
0.059626 1.000000
0.059718 1.000000
0.059809 1.000000
0.059901 1.000000
0.059993 1.000000
0.060084 1.000000
0.060176 1.000000
0.060267 1.000000
0.060359 1.000000
0.060450 1.000000
0.060542 1.000000
0.060634 1.000000
0.060725 1.000000
0.060817 1.000000
0.060908 1.000000
0.061000 1.000000
0.061092 1.000000
0.061183 1.000000
0.061275 1.000000
0.061366 1.000000
0.061458 1.000000
0.061549 1.000000
0.061641 1.000000
0.061733 1.000000
0.061824 1.000000
0.061916 1.000000
0.062007 1.000000
0.062099 1.000000
0.062191 1.000000
0.062282 1.000000
0.062374 1.000000
0.062465 1.000000
0.062557 1.000000
0.062648 1.000000
0.062740 1.000000
0.062832 1.000000
0.062923 1.000000
0.063015 1.000000
0.063106 1.000000
0.063198 1.000000
0.063290 1.000000
0.063381 1.000000
0.063473 1.000000
0.063564 1.000000
0.063656 1.000000
0.063747 1.000000
0.063839 1.000000
0.063931 1.000000
0.064022 1.000000
0.064114 1.000000
0.064205 1.000000
0.064297 1.000000
0.064389 1.000000
0.064480 1.000000
0.064572 1.000000
0.064663 1.000000
0.064755 1.000000
0.064846 1.000000
0.064938 1.000000
0.065030 1.000000
0.065121 1.000000
0.065213 1.000000
0.065304 1.000000
0.065396 1.000000
0.065488 1.000000
0.065579 1.000000
0.065671 1.000000
0.065762 1.000000
0.065854 1.000000
0.065945 1.000000
0.066037 1.000000
0.066129 1.000000
0.066220 1.000000
0.066312 1.000000
0.066403 1.000000
0.066495 1.000000
0.066587 1.000000
0.066678 1.000000
0.066770 1.000000
0.066861 1.000000
0.066953 1.000000
0.067044 1.000000
0.067136 1.000000
0.067228 1.000000
0.067319 1.000000
0.067411 1.000000
0.067502 1.000000
0.067594 1.000000
0.067686 1.000000
0.067777 1.000000
0.067869 1.000000
0.067960 1.000000
0.068052 1.000000
0.068143 1.000000
0.068235 1.000000
0.068327 1.000000
0.068418 1.000000
0.068510 1.000000
0.068601 1.000000
0.068693 1.000000
0.068785 1.000000
0.068876 1.000000
0.068968 1.000000
0.069059 1.000000
0.069151 1.000000
0.069243 1.000000
0.069334 1.000000
0.069426 1.000000
0.069517 1.000000
0.069609 1.000000
0.069700 1.000000
0.069792 1.000000
0.069884 1.000000
0.069975 1.000000
0.070067 1.000000
0.070158 1.000000
0.070250 1.000000
0.070342 1.000000
0.070433 1.000000
0.070525 1.000000
0.070616 1.000000
0.070708 1.000000
0.070799 1.000000
0.070891 1.000000
0.070983 1.000000
0.071074 1.000000
0.071166 1.000000
0.071257 1.000000
0.071349 1.000000
0.071441 1.000000
0.071532 1.000000
0.071624 1.000000
