# Threshold Efficiency
0.003045 0.997222
0.003142 0.997222
0.003239 0.997222
0.003337 0.997222
0.003434 0.997222
0.003531 0.997222
0.003629 0.997222
0.003726 0.997222
0.003824 0.994444
0.003921 0.994444
0.004018 0.994444
0.004116 0.994444
0.004213 0.994444
0.004310 0.994444
0.004408 0.994444
0.004505 0.994444
0.004602 0.994444
0.004700 0.994444
0.004797 0.994444
0.004894 0.994444
0.004992 0.994444
0.005089 0.994444
0.005187 0.994444
0.005284 0.994444
0.005381 0.994444
0.005479 0.994444
0.005576 0.994444
0.005673 0.991667
0.005771 0.991667
0.005868 0.991667
0.005965 0.991667
0.006063 0.988889
0.006160 0.988889
0.006257 0.988889
0.006355 0.988889
0.006452 0.988889
0.006550 0.988889
0.006647 0.986111
0.006744 0.986111
0.006842 0.986111
0.006939 0.986111
0.007036 0.983333
0.007134 0.983333
0.007231 0.983333
0.007328 0.983333
0.007426 0.983333
0.007523 0.983333
0.007620 0.983333
0.007718 0.983333
0.007815 0.983333
0.007913 0.983333
0.008010 0.983333
0.008107 0.983333
0.008205 0.983333
0.008302 0.983333
0.008399 0.983333
0.008497 0.983333
0.008594 0.983333
0.008691 0.983333
0.008789 0.983333
0.008886 0.983333
0.008983 0.983333
0.009081 0.983333
0.009178 0.983333
0.009276 0.983333
0.009373 0.983333
0.009470 0.983333
0.009568 0.983333
0.009665 0.983333
0.009762 0.983333
0.009860 0.983333
0.009957 0.983333
0.010054 0.983333
0.010152 0.983333
0.010249 0.983333
0.010346 0.983333
0.010444 0.983333
0.010541 0.980556
0.010639 0.977778
0.010736 0.977778
0.010833 0.977778
0.010931 0.977778
0.011028 0.977778
0.011125 0.977778
0.011223 0.977778
0.011320 0.977778
0.011417 0.977778
0.011515 0.977778
0.011612 0.977778
0.011709 0.977778
0.011807 0.977778
0.011904 0.977778
0.012002 0.977778
0.012099 0.977778
0.012196 0.977778
0.012294 0.977778
0.012391 0.977778
0.012488 0.977778
0.012586 0.977778
0.012683 0.977778
0.012780 0.977778
0.012878 0.977778
0.012975 0.977778
0.013073 0.977778
0.013170 0.977778
0.013267 0.977778
0.013365 0.977778
0.013462 0.977778
0.013559 0.977778
0.013657 0.977778
0.013754 0.977778
0.013851 0.977778
0.013949 0.977778
0.014046 0.977778
0.014143 0.975000
0.014241 0.975000
0.014338 0.975000
0.014436 0.975000
0.014533 0.975000
0.014630 0.975000
0.014728 0.972222
0.014825 0.969444
0.014922 0.969444
0.015020 0.969444
0.015117 0.969444
0.015214 0.969444
0.015312 0.966667
0.015409 0.966667
0.015506 0.966667
0.015604 0.966667
0.015701 0.966667
0.015799 0.966667
0.015896 0.966667
0.015993 0.966667
0.016091 0.966667
0.016188 0.966667
0.016285 0.966667
0.016383 0.966667
0.016480 0.966667
0.016577 0.966667
0.016675 0.966667
0.016772 0.966667
0.016869 0.966667
0.016967 0.966667
0.017064 0.966667
0.017162 0.963889
0.017259 0.961111
0.017356 0.961111
0.017454 0.961111
0.017551 0.961111
0.017648 0.961111
0.017746 0.961111
0.017843 0.961111
0.017940 0.958333
0.018038 0.958333
0.018135 0.955556
0.018232 0.955556
0.018330 0.955556
