# Threshold Efficiency
0.003045 1.000000
0.003142 1.000000
0.003239 1.000000
0.003337 1.000000
0.003434 1.000000
0.003531 1.000000
0.003629 1.000000
0.003726 1.000000
0.003824 1.000000
0.003921 1.000000
0.004018 1.000000
0.004116 1.000000
0.004213 1.000000
0.004310 1.000000
0.004408 1.000000
0.004505 1.000000
0.004602 1.000000
0.004700 1.000000
0.004797 1.000000
0.004894 1.000000
0.004992 1.000000
0.005089 1.000000
0.005187 1.000000
0.005284 1.000000
0.005381 1.000000
0.005479 1.000000
0.005576 1.000000
0.005673 1.000000
0.005771 1.000000
0.005868 1.000000
0.005965 1.000000
0.006063 1.000000
0.006160 1.000000
0.006257 1.000000
0.006355 1.000000
0.006452 1.000000
0.006550 1.000000
0.006647 1.000000
0.006744 1.000000
0.006842 1.000000
0.006939 1.000000
0.007036 1.000000
0.007134 1.000000
0.007231 1.000000
0.007328 1.000000
0.007426 1.000000
0.007523 1.000000
0.007620 1.000000
0.007718 1.000000
0.007815 1.000000
0.007913 1.000000
0.008010 1.000000
0.008107 1.000000
0.008205 1.000000
0.008302 1.000000
0.008399 1.000000
0.008497 1.000000
0.008594 1.000000
0.008691 1.000000
0.008789 1.000000
0.008886 1.000000
0.008983 1.000000
0.009081 1.000000
0.009178 1.000000
0.009276 1.000000
0.009373 1.000000
0.009470 1.000000
0.009568 1.000000
0.009665 1.000000
0.009762 1.000000
0.009860 1.000000
0.009957 1.000000
0.010054 1.000000
0.010152 1.000000
0.010249 1.000000
0.010346 1.000000
0.010444 1.000000
0.010541 1.000000
0.010639 1.000000
0.010736 1.000000
0.010833 1.000000
0.010931 1.000000
0.011028 1.000000
0.011125 1.000000
0.011223 1.000000
0.011320 1.000000
0.011417 1.000000
0.011515 1.000000
0.011612 1.000000
0.011709 1.000000
0.011807 1.000000
0.011904 1.000000
0.012002 1.000000
0.012099 1.000000
0.012196 1.000000
0.012294 1.000000
0.012391 1.000000
0.012488 1.000000
0.012586 1.000000
0.012683 1.000000
0.012780 1.000000
0.012878 1.000000
0.012975 1.000000
0.013073 1.000000
0.013170 1.000000
0.013267 1.000000
0.013365 1.000000
0.013462 1.000000
0.013559 1.000000
0.013657 1.000000
0.013754 1.000000
0.013851 1.000000
0.013949 1.000000
0.014046 1.000000
0.014143 1.000000
0.014241 1.000000
0.014338 1.000000
0.014436 1.000000
0.014533 1.000000
0.014630 1.000000
0.014728 1.000000
0.014825 1.000000
0.014922 1.000000
0.015020 1.000000
0.015117 1.000000
0.015214 1.000000
0.015312 1.000000
0.015409 1.000000
0.015506 1.000000
0.015604 1.000000
0.015701 1.000000
0.015799 1.000000
0.015896 1.000000
0.015993 1.000000
0.016091 1.000000
0.016188 1.000000
0.016285 1.000000
0.016383 1.000000
0.016480 1.000000
0.016577 1.000000
0.016675 1.000000
0.016772 1.000000
0.016869 1.000000
0.016967 1.000000
0.017064 1.000000
0.017162 1.000000
0.017259 1.000000
0.017356 1.000000
0.017454 1.000000
0.017551 1.000000
0.017648 1.000000
0.017746 1.000000
0.017843 1.000000
0.017940 1.000000
0.018038 1.000000
0.018135 1.000000
0.018232 1.000000
0.018330 1.000000
0.018427 1.000000
0.018525 1.000000
0.018622 1.000000
0.018719 1.000000
0.018817 1.000000
0.018914 1.000000
0.019011 1.000000
0.019109 1.000000
0.019206 1.000000
0.019303 1.000000
0.019401 1.000000
0.019498 1.000000
0.019595 1.000000
0.019693 1.000000
0.019790 1.000000
0.019888 1.000000
0.019985 1.000000
0.020082 1.000000
0.020180 1.000000
0.020277 1.000000
0.020374 1.000000
0.020472 1.000000
0.020569 1.000000
0.020666 1.000000
0.020764 1.000000
0.020861 1.000000
0.020958 1.000000
0.021056 1.000000
0.021153 1.000000
0.021251 1.000000
0.021348 1.000000
0.021445 1.000000
0.021543 1.000000
0.021640 1.000000
0.021737 1.000000
0.021835 1.000000
0.021932 1.000000
0.022029 1.000000
0.022127 1.000000
0.022224 1.000000
0.022321 1.000000
0.022419 1.000000
0.022516 1.000000
0.022614 1.000000
0.022711 1.000000
0.022808 1.000000
0.022906 1.000000
0.023003 1.000000
0.023100 1.000000
0.023198 1.000000
0.023295 1.000000
0.023392 1.000000
0.023490 1.000000
0.023587 1.000000
0.023684 1.000000
0.023782 1.000000
0.023879 1.000000
0.023977 1.000000
0.024074 1.000000
0.024171 1.000000
0.024269 1.000000
0.024366 1.000000
0.024463 1.000000
0.024561 1.000000
0.024658 1.000000
